video_number,q1_text,q1_category,q1_ans_correct,q1_ans_wrong1,q2_text,q2_category,q2_ans_correct,q2_ans_wrong1,q3_text,q3_category,q3_ans_correct,q3_ans_wrong1,q4_text,q4_category,q4_ans_correct,q4_ans_wrong1,q5_text,q5_category,q5_ans_correct,q5_ans_wrong1,q6_text,q6_category,q6_ans_correct,q6_ans_wrong1
000267,"Based on the video, what were the weather and lighting conditions at the time of the incident?",Weather & Light,The incident occurred during the daytime under overcast skies with good visibility.,The incident occurred during the evening under clear skies with moderate visibility.,Which of the following best describes the traffic environment where the collision occurs?,Traffic Environment,"An urban street through residential zone, with vehicles parked along the right side, narrowing the available road space.","multi-lane urban road with buildings on both sides and no parked vehicles, allowing for clear traffic flow.",What is the configuration of the road where the accident takes place?,Road Configuration,"A two-way road with at least two lanes in each direction, separated by a solid white line.","two-way road with one lane in each direction, separated by a dashed yellow line.",How can the type of accident seen in the video be most accurately classified?,Accident Type,A loss-of-control incident where a moving vehicle crosses into the opposing lane and strikes merging SUV.,sideswipe collision between a bus and a sedan occurring in the same lane while both vehicles were moving forward.,"Based on the silver car's sudden and sharp turn, what is the most likely direct cause of the accident?",Accident Cause,"A catastrophic mechanical failure (e.g., tire blowout, steering linkage failure) or a sudden medical emergency affecting the driver.",sudden loss of control due to hydroplaning on a wet road surface.,"Considering the most probable root cause of this type of abrupt loss of control, what is a primary measure for prevention?",Accident Prevention,"Conducting regular vehicle maintenance with a focus on tires, suspension, and steering components.",Maintaining proper tire pressure and ensuring adequate tread depth on all tires.
000274,"Based on the video, what were the weather and lighting conditions when the incident occurred?",Weather & Light,Daytime with clear skies and good visibility.,Overcast skies with moderate cloud cover and reduced visibility.,Which of the following best describes the traffic environment where the collision happened?,Traffic Environment,"An urban/suburban road with traffic, a shoulder for parking, and a green belt.","residential street with light traffic, a sidewalk, and no visible green belt.",What is the road configuration for the ego vehicle's lane just before the collision.,Road Configuration,A standard through-traffic lane on a multi-lane road.,dedicated turn-only lane on a multi-lane road.,What type of accident occurs in the video?,Accident Type,A rear-end collision caused by the front vehicle reversing into the stationary ego vehicle.,sideswipe collision between the ego vehicle and a van moving in the adjacent lane.,What is the primary cause of this collision?,Accident Cause,The driver of the white van reversed without properly checking for vehicles behind.,The driver of the silver sedan failed to maintain a safe following distance behind the van.,Which action by the involved parties could have most effectively prevented this accident?,Accident Prevention,The driver of the white van should have checked their mirrors and blind spots before reversing.,The driver of the silver sedan should have maintained a greater following distance behind the van.
000276,"Based on the visual evidence in the video, what were the prevailing weather and lighting conditions when the accident occurred?",Weather & Light,"Daylight with a cloudy sky, good visibility, and a dry road surface.","Daylight with a partly sunny sky, moderate visibility, and a wet road surface.",Which of the following best describes the traffic environment shown in the video?,Traffic Environment,A multi-lane urban thoroughfare with few tall buildings scatter around.,wide suburban road with low-rise residential buildings and dense tree coverage on both sides.,What is the physical layout of the road where the incident takes place?,Road Configuration,"A straight, multi-lane road divided by trams, with moderate, fast-moving traffic and vehicles parked alongside.","wide, curved road with a central median and light traffic, featuring parked cars on one side and pedestrian pathways on both sides.",What is the most accurate classification of this traffic accident?,Accident Type,"A rear-end collision where the red car was struck from behind, causing it to swerve.",sideswipe collision where the red car was hit on its side while changing lanes.,What was the most direct cause of the red car losing control and crashing?,Accident Cause,The driver of the ego car was speeding too high to maintain control.,The red car swerved suddenly to avoid a pedestrian crossing the road.,Which action by the driver of the red car would have been the most effective way to prevent this crash?,Accident Prevention,The POV car significantly reduces speed to a safe and controllable level before attempting to steer towards the parking area.,The driver of the red car could have avoided the crash by maintaining a consistent speed and staying in the right lane without sudden movements.
000278,"Based on the video, what were the weather and lighting conditions at the time of the accident?",Weather & Light,lear daytime conditions with good visibility and a dry road surface.,Clear daytime conditions with good visibility and a wet road surface.,Which of the following best describes the traffic environment where the collision occurred?,Traffic Environment,An urban or town road with commercial buildings and parallel parking along the right side.,suburban road with residential houses and no parked vehicles along the sides.,What is the configuration of the road just before the accident?,Road Configuration,"It was a two-way road with no land markings, with moderate traffic",It was a one-way road with clear lane markings and light traffic,How can the type of collision in the video be most accurately described?,Accident Type,A sideswipe collision where both vehicles were traveling parallel and one drifted into the other's lane.,rear-end collision where one vehicle struck the back of another while traveling in the same direction.,What was the primary contributing factor from both drivers that led to this accident?,Accident Cause,"he car driver failed to check for traffic when pulling out, and the motorcyclist was unsafely overtaking at high speed from the right shoulder.","The car driver was distracted by a mobile phone, and the motorcyclist failed to maintain a safe following distance.",Which combination of actions could have most effectively prevented this accident?,Accident Prevention,"The car driver should have thoroughly checked their mirror and blind spot before merging, and the motorcyclist should have avoided overtaking on the right shoulder.","The car driver should have signaled earlier before merging, and the motorcyclist should have maintained a greater distance from the vehicle ahead."
000286,"Based on the video, what are the prevailing weather and lighting conditions at the time of the incident?",Weather & Light,"It is daytime with clear skies, but there is evidence of strong sun glare affecting visibility.","It is daytime with clear skies, but there is heavy rain reducing visibility.",Which of the following best describes the traffic environment shown in the video,Traffic Environment,A busy urban street with multiple lanes of traffic and mature trees lining the road.,quiet suburban road with minimal traffic and young trees along the sidewalk.,What is the configuration of the road on which the incident occurs?,Road Configuration,"A multi-lane thoroughfare, with a dedicated tram or stop on the right side.",two-lane road with a bus lane on the left side and no dedicated tram stop.,What type of accident occurs in the video?,Accident Type,A sideswipe collision between the lead car and the out-of-control bus that performed a sudden turn.,rear-end collision between the lead car and a bus that suddenly stopped in traffic.,What is the primary cause of this collision?,Accident Cause,The tram out of control and cut in to the ego-car's lane.,The ego-car suddenly accelerated and failed to maintain a safe distance from the vehicle ahead.,Which action would have been most effective in preventing this accident?,Accident Prevention,The bus should constantly check its functional sections to ensure it works well.,The driver should have maintained a greater following distance from the vehicle ahead.
000300,What were the primary weather and lighting conditions that posed a significant hazard at the time of the accident?,Weather & Light,A foggy day with snow and severe sun glare directly facing the drivers.,clear day with light snow on the ground and bright sunlight from the side.,Which of the following best describes the traffic environment where the collision occurred?,Traffic Environment,A signalized urban intersection with pedestrains lane and apartments at the corner.,residential street with a crosswalk and commercial buildings on one side.,"Based on the video, what is the configuration of the road at the accident site?",Road Configuration,"A multi-lane, two-way road crossing at a signalized intersection, with pedestrians present on the sidewalks.","two-lane, one-way road with a crosswalk at an uncontrolled intersection, and no visible pedestrians on the sidewalks.",What type of collision occurred between the two vehicles?,Accident Type,"A side-impact (T-bone) collision, where the front white car hit a oncoming car.","rear-end collision, where the white car struck the vehicle in front of it from behind.",What was the primary and most direct cause of this accident?,Accident Cause,The white car failed to yield the right-of-way to oncoming traffic while making a left turn.,The driver of the white car was distracted by a mobile phone while approaching the intersection.,What action could have most effectively prevented this collision?,Accident Prevention,The white car should stay calm and drive carefully while in intersection area.,The white car should have accelerated quickly to clear the intersection before other vehicles arrived.
000306,"Based on the video, what were the prevailing weather and lighting conditions at the time of the incident?",Weather & Light,"It was daytime with clear skies, bright sunlight, and dry road surfaces.","It was daytime with partly cloudy skies, moderate sunlight, and wet road surfaces due to recent rainfall.",Which of the following best describes the traffic environment shown in the video?,Traffic Environment,A wide multi-lane urban arterial road with moderate traffic and commercial buildings.,narrow residential street with light traffic and low-rise apartment buildings.,What is the configuration of the road on which the ego-vehicle is traveling?,Road Configuration,"A straight, multi-lane, two-way road divided by a double solid line, with many vehicles parked on the roadside.","straight, multi-lane, two-way road divided by a dashed line, with few vehicles parked on the roadside.",What type of collision does the ego-vehicle experience?,Accident Type,A rear-end collision with the vehicle that towads the opposing lane.,sideswipe collision with a vehicle changing lanes from the adjacent lane.,"What is the primary factor that led to the collision with the ego-vehicle?""",Accident Cause,"The The white car in front performed a very dangerous U-turn, crossing multiple lanes",The white car in front suddenly accelerated and changed lanes without signaling,What was the most viable action to prevent this specific incident?,Accident Prevention,"The white car should not make a U-turn here. It should make a U-turn in the leftmost lane, not on the solid yellow line.",The white car should have signaled earlier before making the turn to alert other drivers.
000309,"Based on the visual evidence, which of the following best describes the weather and lighting conditions at the time of the incident?",Weather & Light,"lear daylight with good visibility, though there are patches of melting snow and water on the road.",Overcast conditions with reduced visibility due to fog and damp road surfaces,What is the most accurate description of the traffic environment where the collision occurs?,Traffic Environment,An urban auxiliary road with tall buildings nearby.,residential street with low-rise houses and parked cars along the sides.,What is the configuration of the road shown in the video?,Road Configuration,Congested road area shoulder with slow-moving or stop-and-go traffic.,Wide multi-lane highway with steady traffic flow and clear lane markings.,What specific type of collision occurred?,Accident Type,A head-on collision of the oncoming car and the front car which was stationary.,rear-end collision between the oncoming car and the front car which was stationary.,What was the primary contributing factor from Participant B (the green MPV) that led to the crash?,Accident Cause,The coming car's misjudgment of the gap between the car in front.,The green MPV's failure to yield while merging into traffic.,Which action would have been the most effective measure to prevent this accident?,Accident Prevention,The oncmoing sedan quits cutting in the  parking space in the right hand.,The driver of the sedan maintains a safe distance while merging into traffic.
000325,"Based on the visual evidence, what were the weather and lighting conditions at the time of the accident?",Weather & Light,It was daytime with clear skies and good visibility.,It was daytime with light cloud cover and moderate visibility.,Which of the following best describes the traffic environment where the accident occurred?,Traffic Environment,"An urban road regulated by traffic lights, with electric wires and shops along the street","suburban road with minimal traffic signals, surrounded by residential buildings and open fields",What is the configuration of the road where the collision happened?,Road Configuration,A four-way intersection where multiple lanes of traffic cross.,two-way intersection with a single lane in each direction and a traffic light.,How can the collision be classified?,Accident Type,"An angle collision, where the front of the car struck the side of the motorcycle.","rear-end collision, where the car struck the motorcycle from behind.",What was the primary factor that directly led to this accident?,Accident Cause,The black car went in the wrong lane and passed the intersection too fast before the green light,The motorcyclist failed to yield and entered the intersection without checking traffic signals,What was the most critical action that could have prevented this collision from happening?,Accident Prevention,The driver of the car should have slowed down before the green light turned on and yielded the right-of-way.,The motorcyclist should have waited for the traffic light to turn green before entering the intersection.
000326,"Based on the video, what are the prevailing weather and road surface conditions at the time of the incident?",Weather & Light,A gloomy day with an overcast sky and a damp road surface.,cloudy day with a dry road surface and moderate traffic.,Which statement best describes the traffic environment just before the collision?,Traffic Environment,A wide urban arterial road.,multi-lane highway with light traffic and minimal roadside structures.,What is the configuration of the road where the accident occurs?,Road Configuration,"A straight, multi-lane urban main road with at least three lanes in one direction, and heavy, slow-moving or stop-and-go traffic.","curved, two-lane suburban road with light traffic and no visible lane markings.",What type of accident is depicted in the video?,Accident Type,A multi-vehicle rear-end incident involving a rear-end collision initiated by the camera.,side-impact collision between two vehicles in adjacent lanes,What are the primary contributing factors from the drivers that led to this complex accident,Accident Cause,The dashcam vehicle following too closely and in a high speed.,The vehicle in front braking suddenly without warning.,What is the most crucial action the driver could have taken to prevent their part in this accident?,Accident Prevention,The dashcam car's driver maintains a greater following distance from the grey car to allow for adequate reaction and braking time.,The dashcam car's driver should have signaled earlier to indicate their intention to change lanes and avoid surprising the grey car.
000340,"Based on the video, what were the prevailing weather and lighting conditions at the time of the incident?",Weather & Light,Daytime with clear skies and good visibility.,Daytime with overcast skies and moderate visibility.,Which of the following best describes the environment where the accident occurred?,Traffic Environment,"An urban intersection featuring traffic signals, overhead wires, and roadside trees.","suburban road with minimal traffic signals, overhead power lines, and sparse tree coverage.",What is the layout of the road at the scene of the collision?,Road Configuration,"A multi-lane, two-way road forming a unsignalized intersection.","single-lane, one-way road with a signalized intersection.","Based on the dynamics of the collision, what is the most accurate classification of this accident?",Accident Type,A left-turn collision where a turning vehicle crossed the path of an oncoming vehicle.,sideswipe collision where two vehicles traveling in the same direction made lateral contact.,What was the primary critical error that led to this collision?,Accident Cause,The driver of the light-colored car failed to yield the right-of-way to oncoming traffic while turning left.,The driver of the dark-colored SUV failed to maintain a safe following distance while approaching the intersection.,What action would have been the most effective measure to prevent this accident?,Accident Prevention,The white minicar waits for a safe gap in oncoming traffic before initiating the left turn.,The white minicar signals its intention to turn left but proceeds without checking for oncoming traffic.
000343,"Based on the visual evidence, what were the prevailing weather and road conditions at the time of the incident?",Weather & Light,"Daytime and overcast, with wet road surfaces indicating recent or ongoing rain.","Daytime and clear, with dry road surfaces suggesting no recent precipitation.",Which specific element in the immediate traffic environment was the most critical factor in obstructing the driver's view of the hazard?,Traffic Environment,A large blue bus traveling in the adjacent lane to the left of the ego-vehicle.,black sedan merging from the left side of the road into the ego-vehicle's lane.,What is the configuration of the road section where the collision occurred?,Road Configuration,A two-way urban road with at least one lane in each direction; the collision did not occur at a marked crosswalk.,two-way urban road with at least one lane in each direction; the collision occurred at a marked crosswalk.,This type of accident is best classified as which of the following?,Accident Type,A 'ghost-head' or blind-spot pedestrian collision.,pedestrian crossing collision at a marked crosswalk.,What was the primary and most direct cause of the collision?,Accident Cause,The pedestrian ran across the road from a large blind spot without looking for traffic in the adjacent lane.,"The driver failed to maintain a safe following distance behind the vehicle ahead, leading to sudden braking.","From the driver's perspective, which defensive driving action would have been the most effective in potentially preventing this specific type of accident?",Accident Prevention,Reducing speed and being prepared to stop when driving alongside a large vehicle that blocks the view of the roadside.,Maintaining a safe following distance behind the bus while monitoring the traffic signals ahead.
000349,"Based on the video, what were the weather and lighting conditions when the accident occurred?",Weather & Light,"It was daytime with clear, sunny conditions and a dry road surface.",It was daytime with partly cloudy skies and a wet road surface.,What specific traffic control feature is present at the location of the collision?,Traffic Environment,"Urban street with marked crosswalk with pedestrian crossing signs, and trees along with few low street shops","Urban street with marked crosswalk and pedestrian crossing signs, but no visible trees or nearby shops",Which statement accurately describes the road configuration at the accident scene?,Road Configuration,"A straight, multi-lane road at a signalized intersection where at least two lanes traveling in the same direction, with a row of parked cars narrows the road.","curved, two-lane road at an uncontrolled intersection with no parked vehicles and a wide shoulder on both sides.",What is the most accurate classification of this accident?,Accident Type,A series of acciental events initiated by a black car crossing the intersection by entering the opposite lane,collision caused by a pedestrian crossing the street unexpectedly in front of an approaching vehicle,What crucial preventive action should have taken?,Accident Cause,The black car tried to overtake the vehicle ahead from the opposite lane.,The black car failed to yield to the pedestrian crossing the street.,,,,
000350,What were the prevailing weather and light conditions when the collision occurred?,Weather & Light,"aytime with an overcast sky, providing clear visibility.","Daytime with a partly cloudy sky, resulting in moderate visibility.",In which type of traffic environment did this incident take place?,Traffic Environment,In an urban area.,In a suburban residential area.,"Based on the video, what is the road configuration at the location of the accident?",Road Configuration,"A signalized 4-way intersection consists of a curved multi-lane mainroad。 An accident car broke down in the intersection, blocking the right intersection.","signalized 4-way intersection with a straight multi-lane main road, where a vehicle has stopped in the left turn lane, partially blocking traffic flow.",How can the type of accident shown in the video be best described?,Accident Type,A series of rear-end collisions.,single vehicle collision involving a stationary car.,What was the primary human error that led to this collision?,Accident Cause,"The driver of the left white car changed lanes abruptly without signaling or checking for adjacent traffic, and  blocked the other vehicle's path.",The driver of the right white car failed to yield at the intersection and accelerated into the path of the other vehicle.,What key action could the driver of the at-fault car have taken to prevent this accident?,Accident Prevention,"When the road narrows, Mazda drivers should check the traffic on the side before cutting in, and Nissan drivers should keep a safe distance from the vehicle in front.",The driver of the at-fault car should have accelerated quickly to maintain lane position when the traffic light turned green.
000352,"Based on the video, what were the weather and lighting conditions when the accident occurred?",Weather & Light,It was daytime with clear skies and a dry road surface.,It was early evening with overcast skies and a wet road surface.,Which statement best describes the traffic environment where the collision took place?,Traffic Environment,An urban intersection with marked crosswalks and traffic signals.,rural roadway with no traffic signals and minimal pedestrian infrastructure.,What was the road configuration at the point of impact?,Road Configuration,"At an intersection, a bicycle crossed the road at a pedestrain crossing when the traffic light was red in the same direction","At an intersection, a bicycle crossed the road at a pedestrian crossing when the traffic light was green in the same direction",What type of accident is depicted in the video?,Accident Type,A collision between an SUV going straight and a cyclist crossing at an intersection.,collision between a cyclist and a pedestrian at a crosswalk.,What was the primary human-factor cause of this collision?,Accident Cause,The cyclist ignored a red traffic signal designated for pedestrians and cyclists.,The driver failed to yield to pedestrians crossing the street at a marked crosswalk.,by the SUV driver would have been the most effective measure to prevent this collision?,Accident Prevention,The cyclist waits for the traffic light on the main road to cross.,The SUV driver yields to pedestrians crossing the sidewalk near the intersection.
000360,What are the weather and road surface conditions at the time of the incident?,Weather & Light,Overcast skies during the daytime with a dry road surface.,Partly cloudy skies during the daytime with a wet road surface.,What key traffic surroundings were present at the location of the collision?,Traffic Environment,A rural road with plants and low buildings along the roadside.,"suburban intersection with traffic lights, pedestrian crossings, and a bus stop nearby.","Based on the video, which statement best describes the road where the accident happened?",Road Configuration,"There is a T-junction on the right and a branch road on the left, several pedestrians waited for a bus at the corner station.","There is a T-junction on the left and a branch road on the right, with several pedestrians crossing the street near a pedestrian crossing sign.",What type of accident is depicted in the video?,Accident Type,A collision between a vehicle and a pedestrian at a designated crosswalk,vehicle striking a pedestrian while crossing outside of a designated crosswalk,What was the primary cause of this accident?,Accident Cause,The dashcam vehicle driver failed to slow down and yield the right-of-way to the pedestrian at the crosswalk.,"The pedestrian suddenly stepped into the roadway without looking, causing the dashcam vehicle to lose control.",How could the participants in this incident have most effectively prevented this collision?,Accident Prevention,The camera vehicle slows down when approaching the crosswalk and stops for the pedestrian.,The pedestrian should have waited for the traffic light to change before crossing the street.
000363,"Based on the video, what were the weather and lighting conditions at the time of the incident?",Weather & Light,Daytime with clear weather and good visibility.,Overcast skies with moderate lighting and slightly reduced visibility.,Which of the following best describes the traffic environment shown in the video?,Traffic Environment,A suburban multiple parallel arterial separated by green belts with buildings nearby.,residential street with parked cars along both sides and no visible green belts separating traffic lanes.,What is the configuration of the road where the accident occurred?,Road Configuration,A one-way road with only opposite traffic flow.,two-way road with traffic flowing in both directions.,What type of collision occurred in the video?,Accident Type,A head-on collision caused by an oncoming vehicle crossing the center line.,rear-end collision caused by the vehicle in front suddenly braking.,What was the primary and direct cause of this accident?,Accident Cause,The oncoming silver car suddenly crossed the center line into the ego-vehicle's path.,The ego-vehicle failed to maintain a safe following distance behind the white van ahead.,Which of the following measures would have been most effective in preventing this specific type of head-on collision?,Accident Prevention,Installing a physical median barrier between the opposing lanes of traffic.,Implementing a speed limit reduction on the roadway.
000365,"Based on the video, what are the prevailing weather and light conditions at the time of the accident?",Weather & Light,"Raniy daytime, overcast, and the road surface is wet.","Rainy daytime, overcast, and the road surface is dry.",Which of the following best describes the traffic environment where the collision occurred?,Traffic Environment,A suburban secondary road with fields and scattered buildings.,An urban intersection with multi-lane roads and commercial buildings.,What is the configuration of the road at the accident location?,Road Configuration,"A continuous downhill intersection controlled by traffic lights with a curve ahead, with marked crosswalk.","downhill intersection with traffic lights and a marked crosswalk, but no curve ahead",How would you classify the type of collision shown in the video?,Accident Type,A severe head-on impact of the front vehcle and an oncoming SUV that drifted out of control.,side-impact collision between two vehicles traveling in the same direction at an intersection.,What was the primary and most direct cause of this accident?,Accident Cause,The SUV lost control and drifted due to excessive speed on an uphill slope,The SUV swerved to avoid a pedestrian crossing the road unexpectedly,Which action by a driver would have been the most effective measure to prevent this specific collision?,Accident Prevention,"The driver of the dark SUV should have maintained their lane, controlled their speed, and not overtaken another vehicle at the intersection.",The driver of the dark SUV should have signaled their intention to turn and yielded to oncoming traffic before entering the intersection.
000371,"Based on the video, what were the weather and lighting conditions when the accident happened?",Weather & Light,The accident occurred at night with clear weather and good visibility due to streetlights.,The accident occurred during the evening with light rain and reduced visibility due to wet road conditions.,Which of the following best describes the traffic environment shown in the video?,Traffic Environment,"A busy, multi-lane urban main road with moderate to heavy traffic.","narrow, two-lane residential street with light traffic and frequent pedestrian crossings.",What is the road configuration at the location of the incident?,Road Configuration,A multi-lane road approaching a intersection with a green light,multi-lane road approaching a roundabout with traffic lights visible,How would you classify the type of collision?,Accident Type,A rear-end collision where the ego-car hit the back of the SUV.,sideswipe collision where the ego-car scraped the side of the SUV.,What was the primary cause of this accident?,Accident Cause,"The car in front brakes suddenly at the intersection, causing a head-on collision.","The car in front turns left without signaling, causing a collision.",What action by the driver of the at-fault vehicle could have most effectively prevented this collision?,Accident Prevention,The driver of the POV car shloud keep a safe distance between the front car.,The driver of the front car should have signaled before changing lanes.
000379,"Based on the video, what were the prevailing weather and light conditions at the time of the incident?",Weather & Light,"Daytime with cloudy skies, good visibility, and wet road surfaces from melting snow.","Daytime with clear skies, moderate visibility, and dry road surfaces due to recent snow clearing.",Which of the following best describes the traffic environment shown in the video?,Traffic Environment,"A busy urban arterial road with congested, slow-moving traffic.",wide suburban road with light traffic and open surroundings.,What is the road configuration at the scene of the collision?,Road Configuration,"A small intersection with snow piled on the roadside, and congested, slow-moving traffic.","wide, multi-lane road with clear visibility and light traffic flow, surrounded by snow-covered sidewalks and tall residential buildings.",What type of accident occurred in the video?,Accident Type,A sideswipe collision initiated by the silver SUV making an improper lane change.,rear-end collision caused by the silver SUV failing to maintain a safe following distance.,What was the primary and direct cause of this collision?,Accident Cause,The driver of the black sedan performed an aggressive and unsafe lane change without sufficient space.,The driver of the white SUV failed to maintain a safe following distance while navigating through traffic.,What would have been the most effective action to prevent this accident?,Accident Prevention,The driver of the sedan should have waited for a safe and adequate gap in traffic before changing lanes.,The driver of the sedan should have accelerated quickly to merge into the lane before traffic closed in behind.
000391,"Based on the visual evidence, what were the weather and lighting conditions at the time of the incident?",Weather & Light,"Daytime with clear skies, but the road surface was wet with puddles.","Daytime with overcast skies, and the road surface was dry with no visible puddles.",Which of the following best describes the traffic environment where the accident occurred?,Traffic Environment,"An urban area with mixed traffic, including trams, cars, and nearby parked vehicles.","suburban road with light traffic, featuring only cars and no public transit vehicles.",What is the primary feature of the road configuration at the accident site?,Road Configuration,"A chaotic T-junction with no traffic lights, where tram tracks and motorways mix.",busy intersection with traffic lights and tram tracks running parallel to the road.,How can the type of collision shown in the video be most accurately classified?,Accident Type,A collision where a moving tram strikes a turning car that is obstructing its tracks.,collision where a turning car is struck by a tram that fails to stop at a railway crossing.,What was the primary and most direct cause of this collision?,Accident Cause,"The white car illegally obstructed the active tram tracks, creating an unavoidable hazard.","The tram operator failed to maintain a safe speed while approaching the intersection, leading to the collision.",What is the most critical action that could have prevented this accident?,Accident Prevention,The driver of the car should never have stopped on the tram tracks and should have yielded the right-of-way.,The tram operator should have reduced speed when approaching the intersection to allow more reaction time.
000394,"Based on the video, what are the weather and road conditions at the time of the accident?",Weather & Light,Daytime with cloudy skies and wet roads.,Daytime with clear skies and dry roads.,Which of the following best describes the traffic environment where the incident takes place?,Traffic Environment,An intersection in an urban area.,multi-lane road in a suburban area.,What is a notable characteristic of the road's configuration and physical condition?,Road Configuration,"A multi-lane intersection with a red light, the lane ahead of the intersection is narrowing, and side traffic is blocking the intersection for turning.","wide, straight road with multiple lanes and a green traffic light, where vehicles are moving smoothly without obstructions or narrowing sections.",What type of collision occurs between the red SUV and the white limousine?,Accident Type,A T-bone (side-impact) collision.,rear-end collision.,What was the primary and most direct cause of this collision?,Accident Cause,Ego-car in the wrong lane violated traffic light instructions and forced its way through the intersection,The vehicle on the left failed to yield at the intersection and made an unsafe left turn across traffic,How could the driver have most effectively prevented this accident?,Accident Prevention,The POV car obeys traffic rules and drives in the correct lane according to traffic lights,The driver could have avoided the accident by maintaining a safe following distance from the vehicle ahead
000404,"Based on the video, what are the prevailing weather and lighting conditions at the time of the incident?",Weather & Light,The incident occurs during the daytime with clear skies and good visibility.,The incident occurs during the daytime with light cloud cover and moderate visibility.,Which of the following best describes the traffic environment shown in the video?,Traffic Environment,An urban road with residential buildings near the road.,busy highway with multiple lanes and commercial buildings in the distance.,What is the configuration of the road where the accident takes place?,Road Configuration,"A straight, multi-lane T-junction with with dense, follow-the-leader traffic.","curved, two-lane intersection with moderate, scattered traffic flow.",How would this collision be most accurately classified?,Accident Type,A 'gost-head' T-bone caused when the car in the front turned left and got its view blocked,sideswipe collision caused when the silver car changed lanes without signaling,What was the primary contributing factor to this collision?,Accident Cause,The driver of the silver sedan Cutting into the oncoming lane in a high speed.,The driver of the white van failing to maintain a safe distance from the vehicle ahead.,What key driving technique could have been used to prevent this accident?,Accident Prevention,The silver car should make full observation before cutting to lane in blind spot.,The silver car should maintain a safe following distance behind the van to avoid sudden braking.
000407,"Based on the visual evidence, what are the weather and road conditions at the time of the incident?",Weather & Light,"Cloudy daytime with sufficient light, wet road surfaces, and accumulated snow on the roadsides.","Overcast daytime with reduced visibility, dry road surfaces, and snow-covered sidewalks.",Which description best fits the traffic environment where the accident occurs?,Traffic Environment,Narrow urban intersection between residential buildings.,Wide suburban road with commercial storefronts and light traffic.,What was the road configuration and the initial positioning of the two vehicles involved just before they started moving?,Road Configuration,"A 4-way intersection controlled by traffic lights, with marked crosswalks and multiple lanes, including the one-way lane where the video car is located.","two-way intersection with stop signs and unmarked crosswalks, where both vehicles were positioned in the same lane facing opposite directions.",How can the collision be best classified?,Accident Type,"A side-impact (T-bone) collision, where the front of the straight-moving red SUV struck the side of the turning black SUV.","rear-end collision, where the red SUV struck the back of the black SUV while both vehicles were moving forward in traffic.",What was the primary cause of this accident?,Accident Cause,"The driver of the black SUV made a right turn prompt by the car lights, but the adjacent SUV ignored it and started moving.","The red SUV failed to yield while merging into the lane, causing a collision with the black SUV that was proceeding straight.",Which action by one of the drivers would have most effectively prevented this collision?,Accident Prevention,"When waiting at an intersection, the red car should focus on controlling the vehicle and observe the surrounding traffic conditions.",The red car should have accelerated quickly to merge into the intersection before the traffic light turned green.
000409,"Based on the video, what are the prevailing weather and lighting conditions at the time of the accident?",Weather & Light,Daytime with cloudy skies and generally good visibility.,Daytime with clear skies and bright sunlight.,What specific traffic environment in this video?,Traffic Environment,"An urban expressway with street lights, wide green belts and residential buildings behind them","suburban arterial road with commercial signs, pedestrian crossings, and apartment buildings on both sides",What best describes the road configuration where the accident occurred?,Road Configuration,A multi-lane arterial road with uneven curves and moderate traffic flow.,"wide, straight highway with multiple lanes and heavy traffic flow.",Which of the following best categorizes the type of accident that occurred?,Accident Type,A series of side collisions and rear-end collisions in the direction of the vehicle caused by the oncoming vehicle's loss of control and drift,"multi-vehicle collision involving a sudden lane change by a vehicle in the same direction, resulting in a chain reaction of side impacts",What was the primary cause of this accident?,Accident Cause,"The oncoming vehicle was driving too fast, causing it to lose control at the bend and drift into our lane.","The vehicle in the opposite lane failed to yield at the intersection, leading to a collision.",Which action would have most effectively prevented this collision?,Accident Prevention,The out-of-control car adjusts speed to be appropriate for the road conditions and ensures the vehicle remained fully within the marked travel lane.,The driver of the white car maintains a safe following distance and avoids sudden lane changes.
000416,"Based on the video, what are the weather and lighting conditions during the incident?",Weather & Light,"It is a clear, sunny day with dry road surfaces and good visibility.",It is a partly cloudy day with wet road surfaces and reduced visibility due to light rain.,Which of the following best describes the traffic environment shown in the video?,Traffic Environment,"An urban main road with street signs and billboards, as well as municipal buildings",suburban arterial road with commercial storefronts and light traffic signals,What is the road configuration at the scene of the accident?,Road Configuration,"A busy,straight, multi-lane, two-way main road divided by white solid lines,","narrow, curved, single-lane road with a median barrier and intermittent traffic signals",What type of accident occurs in the video?,Accident Type,Continuous scraping between the vehicle and the vehicle in the left lane,Collision between the vehicle and a stationary object on the roadside,What is the primary action that led directly to this collision?,Accident Cause,The ego-vehicle driver was out of control and failed to brake in an excessive speed.,"The truck driver made an abrupt lane change without signaling, causing the ego-vehicle to swerve.",What crucial safety principle should have been followed to prevent this accident?,Accident Prevention,The ego-car uses emergency braking while controlling the direction and slows down on urban roads.,The ego-car should have maintained a safe following distance and avoided sudden lane changes in heavy traffic.
