video_number,accident_frame,scene_complexity,dense_caption,q1_text,q1_category,q1_ans_correct,q1_ans_wrong1,q1_ans_wrong2,q1_ans_wrong3,q2_text,q2_category,q2_ans_correct,q2_ans_wrong1,q2_ans_wrong2,q2_ans_wrong3,q3_text,q3_category,q3_ans_correct,q3_ans_wrong1,q3_ans_wrong2,q3_ans_wrong3,q4_text,q4_category,q4_ans_correct,q4_ans_wrong1,q4_ans_wrong2,q4_ans_wrong3,q5_text,q5_category,q5_ans_correct,q5_ans_wrong1,q5_ans_wrong2,q5_ans_wrong3,q6_text,q6_category,q6_ans_correct,q6_ans_wrong1,q6_ans_wrong2,q6_ans_wrong3
379,45,6,,"Based on the video, what were the prevailing weather and light conditions at the time of the incident?",Weather & Light,"Daytime with cloudy skies, good visibility, and wet road surfaces from melting snow.",,,,Which of the following best describes the traffic environment shown in the video?,Traffic Environment,"A busy urban arterial road with congested, slow-moving traffic.",,,,What is the road configuration at the scene of the collision?,Road Configuration,"A small intersection with snow piled on the roadside, and congested, slow-moving traffic.",,,,What type of accident occurred in the video?,Accident Type,A sideswipe collision initiated by the silver SUV making an improper lane change.,,,,What was the primary and direct cause of this collision?,Accident Cause,The driver of the black sedan performed an aggressive and unsafe lane change without sufficient space.,,,,What would have been the most effective action to prevent this accident?,Accident Prevention,The driver of the sedan should have waited for a safe and adequate gap in traffic before changing lanes.,,,
391,33,10,,"Based on the visual evidence, what were the weather and lighting conditions at the time of the incident?",Weather & Light,"Daytime with clear skies, but the road surface was wet with puddles.",,,,Which of the following best describes the traffic environment where the accident occurred?,Traffic Environment,"An urban area with mixed traffic, including trams, cars, and nearby parked vehicles.",,,,What is the primary feature of the road configuration at the accident site?,Road Configuration,"A chaotic T-junction with no traffic lights, where tram tracks and motorways mix.",,,,How can the type of collision shown in the video be most accurately classified?,Accident Type,A collision where a moving tram strikes a turning car that is obstructing its tracks.,,,,What was the primary and most direct cause of this collision?,Accident Cause,"The white car illegally obstructed the active tram tracks, creating an unavoidable hazard.",,,,What is the most critical action that could have prevented this accident?,Accident Prevention,The driver of the car should never have stopped on the tram tracks and should have yielded the right-of-way.,,,
394,41,8,,"Based on the video, what are the weather and road conditions at the time of the accident?",Weather & Light,Daytime with cloudy skies and wet roads.,,,,Which of the following best describes the traffic environment where the incident takes place?,Traffic Environment,An intersection in an urban area.,,,,What is a notable characteristic of the road's configuration and physical condition?,Road Configuration,"A multi-lane intersection with a red light, the lane ahead of the intersection is narrowing, and side traffic is blocking the intersection for turning.",,,,What type of collision occurs between the red SUV and the white limousine?,Accident Type,A T-bone (side-impact) collision.,,,,What was the primary and most direct cause of this collision?,Accident Cause,Ego-car in the wrong lane violated traffic light instructions and forced its way through the intersection,,,,How could the driver have most effectively prevented this accident?,Accident Prevention,The POV car obeys traffic rules and drives in the correct lane according to traffic lights,,,
404,32,8,,"Based on the video, what are the prevailing weather and lighting conditions at the time of the incident?",Weather & Light,The incident occurs during the daytime with clear skies and good visibility.,,,,Which of the following best describes the traffic environment shown in the video?,Traffic Environment,An urban road with residential buildings near the road.,,,,What is the configuration of the road where the accident takes place?,Road Configuration,"A straight, multi-lane T-junction with with dense, follow-the-leader traffic.",,,,How would this collision be most accurately classified?,Accident Type,A 'gost-head' T-bone caused when the car in the front turned left and got its view blocked,,,,What was the primary contributing factor to this collision?,Accident Cause,The driver of the silver sedan Cutting into the oncoming lane in a high speed.,,,,What key driving technique could have been used to prevent this accident?,Accident Prevention,The silver car should make full observation before cutting to lane in blind spot.,,,
407,40,7,,"Based on the visual evidence, what are the weather and road conditions at the time of the incident?",Weather & Light,"Cloudy daytime with sufficient light, wet road surfaces, and accumulated snow on the roadsides.",,,,Which description best fits the traffic environment where the accident occurs?,Traffic Environment,Narrow urban intersection between residential buildings. ,,,,What was the road configuration and the initial positioning of the two vehicles involved just before they started moving?,Road Configuration,"A 4-way intersection controlled by traffic lights, with marked crosswalks and multiple lanes, including the one-way lane where the video car is located.",,,,How can the collision be best classified?,Accident Type,"A side-impact (T-bone) collision, where the front of the straight-moving red SUV struck the side of the turning black SUV.",,,,What was the primary cause of this accident?,Accident Cause,"The driver of the black SUV made a right turn prompt by the car lights, but the adjacent SUV ignored it and started moving.",,,,Which action by one of the drivers would have most effectively prevented this collision?,Accident Prevention,"When waiting at an intersection, the red car should focus on controlling the vehicle and observe the surrounding traffic conditions.",,,
409,31,8,,"Based on the video, what are the prevailing weather and lighting conditions at the time of the accident?",Weather & Light,Daytime with cloudy skies and generally good visibility.,,,,What specific traffic environment in this video?,Traffic Environment,"An urban expressway with street lights, wide green belts and residential buildings behind them",,,,What best describes the road configuration where the accident occurred?,Road Configuration,A multi-lane arterial road with uneven curves and moderate traffic flow.,,,,Which of the following best categorizes the type of accident that occurred?,Accident Type,A series of side collisions and rear-end collisions in the direction of the vehicle caused by the oncoming vehicle's loss of control and drift,,,,What was the primary cause of this accident?,Accident Cause,"The oncoming vehicle was driving too fast, causing it to lose control at the bend and drift into our lane.",,,,Which action would have most effectively prevented this collision?,Accident Prevention,The out-of-control car adjusts speed to be appropriate for the road conditions and ensures the vehicle remained fully within the marked travel lane.,,,
416,31,10,,"Based on the video, what are the weather and lighting conditions during the incident?",Weather & Light,"It is a clear, sunny day with dry road surfaces and good visibility.",,,,Which of the following best describes the traffic environment shown in the video?,Traffic Environment,"An urban main road with street signs and billboards, as well as municipal buildings",,,,What is the road configuration at the scene of the accident?,Road Configuration,"A busy,straight, multi-lane, two-way main road divided by white solid lines,",,,,What type of accident occurs in the video?,Accident Type,Continuous scraping between the vehicle and the vehicle in the left lane,,,,What is the primary action that led directly to this collision?,Accident Cause,The ego-vehicle driver was out of control and failed to brake in an excessive speed.,,,,What crucial safety principle should have been followed to prevent this accident?,Accident Prevention,The ego-car uses emergency braking while controlling the direction and slows down on urban roads.,,,
425,30,7,,"Based on the video, what were the prevailing weather and lighting conditions when the collision occurred?",Weather & Light,"It was a clear, sunny day with dry road surfaces.",,,,Which of the following best describes the traffic environment where the accident took place?,Traffic Environment,A multi-lane urban intersection surrounded by city buildings.,,,,What is the configuration of the road layout where the collision occurs?,Road Configuration,"A multi-lane, four-way intersection controlled by traffic lights.",,,,How would you classify the type of collision that occurred,Accident Type,"No contact accident, the motorcycle brakes caused the body to swing and overturn",,,,What was the primary cause of this accident according to traffic laws and the sequence of events?,Accident Cause,"The motorcycle was at an excessive speed, overturned due to the vehicle's body swinging due to braking to avoid the SUV at the intersection",,,,What critical action should have taken to prevent this collision?,Accident Prevention,The motor should slow down at inersection area. The SUV should go through intersection as fast as possible.,,,
426,30,7,,"Based on the video, what were the weather and lighting conditions at the time of the incident?",Weather & Light,Clear daytime conditions with good visibility and a dry road.,,,,Which of the following best describes the traffic environment where the collision occurred?,Traffic Environment,"A clearly marked pedestrian crosswalk on a multi-lane Scenic area roads, with lawns and vegetation",,,,What is the configuration of the road in the direction of the camera vehicle's travel?,Road Configuration,"At least two lanes, with the striking car in the oppsing lane and the camera car in the right.",,,,What type of accident is depicted in the video?,Accident Type,A vehicle-pedestrian collision at a marked crosswalk.,,,,What was the primary cause of this accident?,Accident Cause,The driver of the black car failed to yield the right-of-way to pedestrians in a marked crosswalk.,,,,How could the traffic accident participants have most effectively prevented this collision?,Accident Prevention,"The oncoming black car scanns the road ahead, identifies the pedestrians in the crosswalk, and stops to yield.",,,
427,41,7,,"Based on the video, what are the environmental conditions at the time of the incident?",Weather & Light,Daylight with clear skies and good visibility.,,,,Which of the following accurately describes the traffic environment shown in the video just before the collision?,Traffic Environment,The scene is a busy urban intersection.,,,,What is the configuration of the intersection where the accident occurs?,Road Configuration,"A busy, signalized intersection with other vehicles, a trolleybus, and pedestrian crossing signs.",,,,How can the collision between the ego-vehicle and the dark SUV be classified?,Accident Type,"A T-bone (or side-impact) collision, where the front of the ego-vehicle struck the side of the SUV.",,,,What was the primary cause of this accident?,Accident Cause,The dark SUV speeded through the intersection and left the original lane.,,,,What critical action by the driver of the dark SUV could have most effectively prevented this collision?,Accident Prevention,The dark SUV observes carefully when passing through intersections to avoid fatigue driving and distraction.,,,
428,37,8,,"Based on the video, what were the prevailing weather and lighting conditions when the accident occurred?",Weather & Light,"It was daytime with overcast skies, and visibility was generally clear.",,,,Which of the following best describes the traffic environment where the collision took place?,Traffic Environment,An urban intersection with residential buildings and commercial shops nearby.,,,,What specific road features were present at the location of the accident?,Road Configuration,A narrow intersection with marked crosswalk (zebra crossing) and a traffic signal pole.,,,,How can this traffic accident be most accurately classified?,Accident Type,A collision between a vehicle and a pedestrian at a designated crosswalk.,,,,What was the most direct and primary cause of this accident?,Accident Cause,The van driver failed to yield the right-of-way to the pedestrian who was already on the crosswalk.,,,,Which of the following actions would have most effectively prevented this collision?,Accident Prevention,"The van waits outside the intersection when the light is red, and the pedestrain keep an eye on the oncoming car even when the light is green when crossing.",,,
430,49,8,,"Based on the video, what were the weather and lighting conditions at the time of the incident?",Weather & Light,Daytime with cloudy skies and a dry road surface.,,,,Which of the following best describes the traffic environment where the accident occurred?,Traffic Environment,"A town or village road with roadside buildings, parked vehicles, and a side road junction",,,,What is the configuration of the road at the accident location?,Road Configuration,"A two-lane, four-way road with a dashed centerline at a small intersection with a path.",,,,What type of collision is depicted in the video?,Accident Type,"A T-bone (side-impact) collision, where the front of one car hit the side of the other.",,,,What was the primary cause of this accident?,Accident Cause,The maroon wagon pulled out from a side road and failed to yield the right-of-way to oncoming traffic.,,,,How could the drivers have most effectively prevented this collision?,Accident Prevention,The maroon wagon stops completely and waits for the approaching red car to pass before entering the main road.,,,
432,43,6,,"Based on the video, what were the weather and lighting conditions at the time of the incident?",Weather & Light,"Clear skies and bright daylight, with a dry road surface.",,,,Which of the following best describes the traffic environment shown in the video?,Traffic Environment,"Highway in a rural area, with billboard on the roadside.",,,,What is the road configuration at the location of the collision?,Road Configuration,"A wide, downhill multi-lane highway with at least three lanes travelling in the same direction, separated by clear lane markings.",,,,What type of collision sequence is depicted in the video?,Accident Type,Side collision and rear-end collision caused by an out-of-control silver vehicle,,,,What was the primary action that initiated this multi-vehicle accident?,Accident Cause,"The car in front braked suddenly, and the silver Honda subconsciously turned left to avoid the car, causing it to lose control and sway from side to side.",,,,Which action by the driver have most effectively prevented this accident?,Accident Prevention,The silver car in front maintains a steady speed and avoids sudden braking.,,,
435,33,11,,"Based on the visual information, what were the environmental conditions at the time of the collision?",Weather & Light,Daytime with clear skies and good visibility.,,,,Which of the following best describes the environment where the accident occurred?,Traffic Environment,A suburban intersection with residential areas and vegetation nearby.,,,,What is the configuration of the intersection shown in the video?,Road Configuration,A multi-lane intersection controlled by traffic lights and featuring a painted crosswalk.,,,,What type of collision occurs between the blue Chevrolet and the dark gray Mercedes?,Accident Type,"A side-impact (T-bone) collision, along with a head-on crash, where the front of one car struck the side of the other,then the two acciden cars deviated from their original track and collided head-on with the video car.",,,,"What was the most likely primary cause of this accident?""",Accident Cause,The driver of the black car failed to yield the right-of-way to oncoming traffic while making a right turn. The blue car sped too fast and didn't declerate  in time.,,,,What action by the driver of the blue car would have most reliably prevented this collision?,Accident Prevention,The black car waits for a complete gap in oncoming traffic before starting the turn. The blue car perform a decelrate befor entering intersection.,,,
440,30,7,,"Based on the video, what were the environmental and road conditions at the time of the incident?",Weather & Light,"Clear, sunny daylight with a dry road surface.",,,,Which of the following best describes the traffic environment shown in the video?,Traffic Environment,"A multi-lane highway in a suburban area, with an overpass passing above.",,,,What is the configuration of the road where the collision occurs?,Road Configuration,A busy one-way highway with at least three lanes for traffic moving in the same direction.,,,,What is the specific type of collision that initiates the accident?,Accident Type,"No collision, the vehicle ahead has a flat fell off.",,,,What was the primary contributing factor leading to this collision?,Accident Cause,A mechanical failure of the front pickup truck.,,,,How could the driver have most effectively prevented this accident?,Accident Prevention,The former pickup track's driver checks for mechanical failures before going on the road and avoids long driving times,,,
445,33,10,,"Based on the video, what were the weather and lighting conditions at the time of the accident?",Weather & Light,Daytime with clear skies and good visibility.,,,,Which of the following best describes the traffic environment where the collision occurred?,Traffic Environment,An urban multi-lane intersection with roadside trees and commercial buildings nearby.,,,,What is a key feature of the road configuration at the site of the accident?,Road Configuration,A busy signalized intersection with fast-moving traffic in the horizontal lane ahead,,,,What type of collision occurred in the video?,Accident Type,A collision between an SUV which went through the intersection at high speed and a motorcycle crossing the road,,,,What was the primary cause of this accident?,Accident Cause,The motorcyclist ran a red light while the SUV had the right-of-way.,,,,How could this collision have been most effectively prevented?,Accident Prevention,The motorcyclist should have obey the traffic rule and wait untill the light turn red.,,,
462,45,7,,"Based on the visual information in the video, what were the weather and lighting conditions at the time of the accident?",Weather & Light,The incident took place during dusk with clear weather and general visibility.,,,,Which of the following best describes the traffic environment where the collision occurred?,Traffic Environment,The scene is an intersection on a multi-lane suburban wide road.,,,,What was the road configuration and traffic control situation for the ego-vehicle just before the crash?,Road Configuration,The ego-vehicle was traveling straight through a signalized intersection on a yelloe light.,,,,How can the type of collision shown in the video be most accurately classified?,Accident Type,"A T-bone (or side-impact) collision, where the front of one vehicle struck the side of another.",,,,What was the primary and most direct cause of this accident?,Accident Cause,"The white minivan made an unprotected left turn, failing to yield the right-of-way to the oncoming ego-vehicle.",,,,What critical action should the driver taken to prevent this collision?,Accident Prevention,The driver of the white minivan should have yielded to oncoming traffic and waited for a safe gap before making the turn.,,,
464,37,7,,"Based on the video, what were the weather and lighting conditions at the time of the incident?",Weather & Light,Clear daylight with dry road conditions.,,,,Which of the following best describes the traffic environment where the collision occurred?,Traffic Environment,An urban downtown area with multi-story buildings.,,,,What is the configuration of the road at the accident location?,Road Configuration,"A narrow, one-way, multi-lane paved road with a slight curve.",,,,What type of accident is depicted in the video?,Accident Type,A side-impact collision where the motorcycle strikes the car in front.,,,,What was the primary contributing factor to this collision?,Accident Cause,"The motorcycle was speeding in the intersection, leaving insufficient reaction time.",,,,What key action could have most effectively prevented this accident?,Accident Prevention,The motorcycle should slow down when turning and passing through intersections.,,,
474,41,6,,"Based on the video, what are the prevailing weather and lighting conditions at the time of the incident?",Weather & Light,Clear weather with good visibility during dawn or dusk.,,,,How would you best describe the traffic environment shown in the video?,Traffic Environment,A suburban highway.,,,,What is the configuration of the road where the incident occurs?,Road Configuration,"Heavy but continuously flowing traffic on a multi-lane, straight urban highway with clear lane markings.",,,,What type of collision is about to occur in the video?,Accident Type,"Rollover caused by a side impact, the white car cut in, and struck the right behind side of the front black vehicle then rollover.",,,,What is the primary and most direct action that leads to this collision?,Accident Cause,The white vehicle made an agressive and sudden lane change without proper observation.,,,,What single action would have been most effective in preventing this accident?,Accident Prevention,The white vehicle thoroughly checks mirrors and the vehicle's blind spot before changing lanes.,,,
477,38,8,,"Based on the video, what were the prevailing weather and light conditions when the collision occurred?",Weather & Light,"It was daytime with rainy weather, resulting in wet and reflective road surfaces.",,,,Which of the following best describes the traffic environment at the moment of the incident?,Traffic Environment,It's a rural highway with green belt on the roadside.,,,,What is the configuration of the road where the accident happened?,Road Configuration,Congested uphill straight road separated from the opposite lane by a spacious green belt.,,,,What type of collision occurred?,Accident Type,A series of side collisions caused by a black car rushing from the left opposite lane,,,,What was the primary cause of this collision?,Accident Cause,"The black car in the opposite lane failed to control its speed well, the vehicle drifted out of control, crossed the green belt and rushed into our lane.",,,,What action by one of the drivers could have most effectively prevented this accident?,Accident Prevention,The driver of the dark sedan should slow down when driving downhill or on slippery roads.,,,
487,39,6,,"Based on the visual evidence in the video, what were the prevailing weather and lighting conditions at the time of the incident?",Weather & Light,"Daytime with clear skies and bright sunlight, providing excellent visibility.",,,,Which of the following best describes the traffic environment where the collision occurred?,Traffic Environment,A rural highway surrounded by trees and vegetation.,,,,How is the intersection where the accident happened configured?,Road Configuration,"A Simple structure, narrow intersection with four ways, two lanes each way.",,,,What specific type of collision is depicted in the video?,Accident Type,"A side-impact (T-bone) collision, where the front of the ego-car hit the side of the MPV.",,,,What was the primary and most direct cause of this collision?,Accident Cause,"he white MPV failed to yield the right-of-way to the oncoming motorcycle, which had a green light.",,,,Which of the following actions by the participants would have been the most effective measure to prevent this accident?,Accident Prevention,The white MPV remains stopped and waits for the motorcycle to pass before entering the intersection.,,,
491,31,6,,"Based on the visual evidence in the video, what were the prevailing weather and road conditions?",Weather & Light,"Overcast daytime, general lighting conditions with wet road surfaces.",,,,Which of the following best describes the traffic environment where the incident occurred?,Traffic Environment,A multi-lane urban expressway with vehicles traveling at high speed.,,,,What is the configuration of the road shown in the video?,Road Configuration,"A one-way road with multiple lanes, separated from the opposite lane by the central median strip.",,,,What type of collision is recorded by the dashcam?,Accident Type,A sideswipe collision with a vehicle in the adjacent lane.,,,,What was the primary factor that led to the crash?,Accident Cause,The SUV that changed lanes made direct contact with the dashcam vehicle.,,,,,Accident Prevention,What was the most critical action that could have been taken to prevent this collision?,,,
499,30,11,,"Based on the visual evidence, what are the prevailing weather and lighting conditions at the time of the incident?",Weather & Light,Daytime with overcast skies and snowy/icy road conditions.,,,,Which of the following best describes the traffic environment where the collision occurs?,Traffic Environment,"An urban street with buildings, on-street parallel parking, and tram tracks on the road.",,,,What is the configuration of the road where the accident takes place?,Road Configuration,"A two-way, low-traffic street with at least one lane in each direction, featuring a row of cars parked on each side.",,,,How can the type of this collision be best classified?,Accident Type,A side-impact collision resulting from self vehicle skiing on the icy road.,,,,What was the primary and most direct cause of this accident?,Accident Cause,"The ego-vehicle slides sideways on the icy road, making it impossible to control the direction.",,,,What critical action could have most likely prevented this collision?,Accident Prevention,The ego-vehicle should always keep a low speed in snowy days.,,,
500,38,10,,"Based on the video, what are the prevailing weather and lighting conditions at the time of the accident?",Weather & Light,"Daytime with clear skies, but the road is covered in snow and ice.",,,,Which of the following best describes the traffic environment where the collision occurs?,Traffic Environment,"An urban area with multi-story buildings, traffic lights, and pedestrian crossings.",,,,What is the configuration of the road at the location of the collision?,Road Configuration,A signalized intersection on a multi-lane urban road.,,,,What type of collision occurs between the dark SUV and the white van?,Accident Type,"A side-impact (T-bone) collision, where the van's front struck the SUV's side.",,,,What was the primary human error that led to this accident?,Accident Cause,"The white rushed in, and failed to yield the right-of-way to oncoming traffic.",,,,Which action would have been the most effective way to prevent this collision?,Accident Prevention,"The white van slows down, waits for the oncoming traffic to clear the intersection before entering the intersection.",,,
501,34,8,,"Based on the visual evidence in the video, what were the environmental and road conditions when the accident occurred?",Weather & Light,Daytime with overcast skies and significant snow on the ground.,,,,Which of the following best describes the setting of this incident?,Traffic Environment,An intersection in an urban area with commercial buildings.,,,,What is the condition of the intersection where the collision took place?,Road Configuration,"A signalized, multi-lane T-junction with parked cars narrows the road, where a secondary road joins a main road.",,,,How can the collision shown in the video be most accurately classified?,Accident Type,"A T-bone collision, where the front of one car impacts the side of the car ahead.",,,,What was the primary critical error that led to this crash?,Accident Cause,The dark car failed to yield the right-of-way to the left-turning van at a yellow light.,,,,What corrective action would have most likely prevented this accident?,Accident Prevention,The black car should observe the traffic conditions in the intersection before safely entering the intersection.,,,
539,35,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
565,31,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
572,34,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
573,32,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
575,42,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
578,36,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
579,32,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582,37,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
588,41,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
597,34,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
599,38,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601,35,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604,34,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610,45,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
614,32,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
615,41,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
618,32,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
629,47,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
632,38,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
639,32,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
655,47,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
659,31,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
664,41,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
667,38,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
668,45,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
669,33,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
678,48,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
685,45,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
691,38,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
692,32,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
695,39,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
713,41,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
715,39,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722,30,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
723,39,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
726,40,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
727,42,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
728,32,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
729,35,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
733,30,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
735,30,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
738,35,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
743,32,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
744,30,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
748,38,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
750,34,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
753,47,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
760,49,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
764,34,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
765,39,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
770,33,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
773,34,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
775,38,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
783,37,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
789,47,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
791,38,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
792,34,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
794,38,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
796,49,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
797,41,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
799,40,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
802,40,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
803,36,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
804,30,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
806,35,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
807,31,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
808,31,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
811,30,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
815,42,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
818,36,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
819,33,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
820,46,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
822,45,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
824,30,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
830,38,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
834,30,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
835,32,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
836,38,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
838,31,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
840,41,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
843,32,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
846,30,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
847,44,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
850,33,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
851,42,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
857,35,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
859,40,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
860,35,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
864,36,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
867,32,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
875,36,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
876,30,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
877,34,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
878,34,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
879,30,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
887,40,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
891,30,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
892,42,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
897,35,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
901,30,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
902,30,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
908,31,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
910,30,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
