video_number,q1_text,q1_category,q1_ans_correct,q1_ans_wrong1,q1_ans_wrong2,q2_text,q2_category,q2_ans_correct,q2_ans_wrong1,q2_ans_wrong2,q3_text,q3_category,q3_ans_correct,q3_ans_wrong1,q3_ans_wrong2,q4_text,q4_category,q4_ans_correct,q4_ans_wrong1,q4_ans_wrong2,q5_text,q5_category,q5_ans_correct,q5_ans_wrong1,q5_ans_wrong2,q6_text,q6_category,q6_ans_correct,q6_ans_wrong1,q6_ans_wrong2
000259,"Based on the video, what were the weather and lighting conditions at the time of the incident?",Weather & Light,Dusk with clear visibility and a dry road surface.,Overcast skies with moderate visibility and a wet road surface.,Early morning with low light conditions and dry pavement.,Which of the following best describes the traffic environment where the accident occurred?,Traffic Environment,"A wide, elevated urban expressway with construction zone and low buildings beside the edge of the road.","multi-lane urban road with heavy traffic and commercial buildings along both sides, but no visible construction activity.","narrow, two-way street in a residential area with low-speed traffic and parked cars lining the sidewalks.",What is the configuration of the road section where the collision takes place?,Road Configuration,"A multi-lane, one-way roadway or expressway with moderate to heavy traffic flow.","two-lane, two-way road with light traffic and minimal lane markings.",residential street with curb-side parking and low-speed limits.,What type of collision occurred between the white and red vehicles?,Accident Type,A sideswipe collision resulting from a sudden rush.,rear-end collision caused by sudden braking,T-bone collision due to a lane change maneuver,What was the primary and direct cause of this accident?,Accident Cause,The former car performed a suden and reckless stop with its car headlight fuilure.,The rear vehicle failed to maintain a safe following distance and collided with the car ahead.,sudden lane change by the yellow car on the right caused the surrounding vehicles to brake abruptly.,What is the most critical action the drivers in the video should have taken to prevent this crash?,Accident Prevention,The red car's driver should ensure the car functions well before starting drive.,The driver of the white car should have maintained a safe distance from the vehicle ahead to avoid sudden braking.,The red car's driver should have checked the rearview mirror more frequently to monitor surrounding traffic.
000260,What are the weather and lighting conditions at the time of the incident?,Weather & Light,Gloomy sky during the daytime with a dry road surface.,Overcast sky during the evening with a wet road surface.,Sunny conditions during the daytime with a dry road surface.,Which of the following best describes the traffic environment where the accident occurred?,Traffic Environment,"An urban arterial road with trees, buildings, and other vehicles.","suburban road with wide lanes, few buildings, and minimal traffic.","highway with multiple lanes, guardrails, and high-speed vehicles.",hat is the configuration of the road where the collision happens?,Road Configuration,"A two-way, multi-lane straight road with no central median, at an intersection controlled by traffic lights.","two-way, single-lane road with a central median and no traffic signals at the intersection.",multi-lane roundabout with yield signs and no traffic lights controlling vehicle flow.,"Based on the video, what type of collision occurred?",Accident Type,A side-impact (T-bone) collision where the motorcycle's front hit the car's side.,rear-end collision where the motorcycle hit the back of the car from behind.,head-on collision between the motorcycle and the car traveling in opposite directions.,What was the primary cause that triggered the chain of events leading to the collision?,Accident Cause,"The traffic management system hasn't been designed well in the intersection, causing traffic conflict.","The driver failed to yield the right of way when entering the intersection, leading to a sudden maneuver.","pedestrian unexpectedly crossed the road, causing the vehicle to swerve and collide with another car.",What action could have most effectively prevented this collision?,Accident Prevention,The POV car waits for the straight-through motorcycle to safely pass before initiating the turn.,The motorcycle should have slowed down before entering the intersection to avoid the turning vehicle.,The POV car could have signaled earlier to alert the motorcycle of its intention to turn.
000264,"Based on the video, what were the weather and lighting conditions at the time of the incident?",Weather & Light,The incident occurred during the daytime under gloomy skies with decresed light.,The incident occurred during the daytime under clear skies with bright sunlight.,The incident took place at night with heavy rainfall and limited visibility.,Which of the following best describes the traffic environment where the collision occurs?,Traffic Environment,Suburban or rural area with tress and decentralized buildings scattered far away.,Urban area with dense traffic and multiple commercial buildings along the roadside.,highway setting with high-speed vehicles and limited visibility due to surrounding infrastructure.,What is the configuration of the road where the accident takes place?,Road Configuration,"A two-way curved road in moderate traffic, with at least two lanes in each direction, vehicles merging from the right.",straight multi-lane road with moderate traffic and vehicles entering from a side intersection on the left,"two-way road with a sharp curve and heavy traffic, where vehicles are merging from the left into the main lane",How can the type of accident seen in the video be most accurately classified?,Accident Type,A series of side-impact accidents involving four vehicles,multi-vehicle rear-end collision involving three cars,single-vehicle rollover incident near a roadside barrier,What was the primary contributing factor from Participant B (the green MPV) that led to the crash?,Accident Cause,The light-colored car abruptly entered the main lanes of traffic from the shoulder without yielding.,The green MPV failed to maintain a safe following distance behind the vehicle ahead.,The light-colored car was attempting to merge into traffic from the right lane but did not signal its intention.,What critical action could have prevented this collision?,Accident Prevention,The maneuvering car waits the shoulder until the main road was clear of traffic before attempting the maneuver.,The driver maintains a safe following distance and avoids sudden braking when approaching the intersection.,The vehicle on the shoulder completes its turn quickly to minimize time spent in the merging lane.
000267,"Based on the video, what were the weather and lighting conditions at the time of the incident?",Weather & Light,The incident occurred during the daytime under overcast skies with good visibility.,The incident occurred during the daytime under clear skies with bright sunlight.,The incident occurred during the early morning hours with foggy conditions and reduced visibility.,Which of the following best describes the traffic environment where the collision occurs?,Traffic Environment,"An urban street through residential zone, with vehicles parked along the right side, narrowing the available road space.","multi-lane urban road with no parked vehicles and open space on both sides, allowing for smooth traffic flow.","narrow residential alley with limited visibility and frequent pedestrian crossings, surrounded by low-rise buildings.",What is the configuration of the road where the accident takes place?,Road Configuration,"A two-way road with at least two lanes in each direction, separated by a solid white line.","two-way road with one lane in each direction, separated by a dashed yellow line.",multi-lane highway with divided lanes and a central median barrier.,How can the type of accident seen in the video be most accurately classified?,Accident Type,A loss-of-control incident where a moving vehicle crosses into the opposing lane and strikes merging SUV.,rear-end collision where a vehicle strikes the back of a stationary car in traffic.,sideswipe incident between two vehicles traveling in the same direction on a multi-lane road.,"Based on the silver car's sudden and sharp turn, what is the most likely direct cause of the accident?",Accident Cause,"A catastrophic mechanical failure (e.g., tire blowout, steering linkage failure) or a sudden medical emergency affecting the driver.",sudden loss of traction due to wet road conditions or improper braking.,An unexpected obstacle in the roadway causing an evasive maneuver.,"Considering the most probable root cause of this type of abrupt loss of control, what is a primary measure for prevention?",Accident Prevention,"Conducting regular vehicle maintenance with a focus on tires, suspension, and steering components.",Maintaining proper tire pressure and avoiding sudden steering inputs during wet road conditions.,Enhancing driver awareness through defensive driving training and regular refresher courses.
000274,"Based on the video, what were the weather and lighting conditions when the incident occurred?",Weather & Light,Daytime with clear skies and good visibility.,Early morning with light fog and reduced visibility,Overcast skies with intermittent rain and moderate lighting,Which of the following best describes the traffic environment where the collision happened?,Traffic Environment,"An urban/suburban road with traffic, a shoulder for parking, and a green belt.",rural road with no shoulder and open fields on both sides,"highway with multiple lanes, a central divider, and limited roadside vegetation",What is the road configuration for the ego vehicle's lane just before the collision.,Road Configuration,A standard through-traffic lane on a multi-lane road.,dedicated turning lane with a marked left-turn arrow on a multi-lane road.,shared lane for both through traffic and right-turning vehicles at an intersection.,What type of accident occurs in the video?,Accident Type,A rear-end collision caused by the front vehicle reversing into the stationary ego vehicle.,side-swipe collision occurs when the front vehicle moves laterally into the ego vehicle's path.,rear-end collision caused by the ego vehicle moving forward into the stationary front vehicle.,What is the primary cause of this collision?,Accident Cause,The driver of the white van reversed without properly checking for vehicles behind.,The driver of the white van failed to maintain a safe following distance while moving forward.,"The sedan stopped suddenly without signaling, causing the van to collide from behind.",Which action by the involved parties could have most effectively prevented this accident?,Accident Prevention,The driver of the white van should have checked their mirrors and blind spots before reversing.,The driver of the white van should have signaled before changing lanes to alert nearby vehicles.,The pedestrian on the sidewalk should have stayed further away from the edge of the road to avoid being in the vehicle's path.
000276,"Based on the visual evidence in the video, what were the prevailing weather and lighting conditions when the accident occurred?",Weather & Light,"Daylight with a cloudy sky, good visibility, and a dry road surface.","Daylight with a clear sky, moderate visibility, and a wet road surface due to recent rain.","Dusk with overcast conditions, reduced visibility, and a dry road surface.",Which of the following best describes the traffic environment shown in the video?,Traffic Environment,A multi-lane urban thoroughfare with few tall buildings scatter around.,wide suburban road with low-rise residential buildings and dense tree coverage on both sides.,busy urban intersection with multiple traffic signals and heavy pedestrian activity.,What is the physical layout of the road where the incident takes place?,Road Configuration,"A straight, multi-lane road divided by trams, with moderate, fast-moving traffic and vehicles parked alongside.","wide, straight road with a central median and light traffic, featuring parked cars on both sides but no tram tracks.","curved urban road with multiple lanes and moderate traffic flow, bordered by trees and buildings, with vehicles parked along the curb.",What is the most accurate classification of this traffic accident?,Accident Type,"A rear-end collision where the red car was struck from behind, causing it to swerve.","side-impact collision where the red car was struck on its left side, causing it to lose control.","head-on collision between two vehicles traveling in opposite directions, resulting in a sudden stop.",What was the most direct cause of the red car losing control and crashing?,Accident Cause,The driver of the ego car was speeding too high to maintain control.,The red car swerved suddenly to avoid a pedestrian crossing the road.,The driver of the red car lost traction due to wet road conditions.,Which action by the driver of the red car would have been the most effective way to prevent this crash?,Accident Prevention,The POV car significantly reduces speed to a safe and controllable level before attempting to steer towards the parking area.,The driver of the red car should have signaled earlier and merged into the adjacent lane before turning.,The driver of the red car could have maintained a steady speed while adjusting their position to avoid blocking traffic.
000278,"Based on the video, what were the weather and lighting conditions at the time of the accident?",Weather & Light,lear daytime conditions with good visibility and a dry road surface.,Overcast conditions with reduced visibility and a wet road surface due to recent rain.,Bright daylight with moderate glare from the sun and dry pavement.,Which of the following best describes the traffic environment where the collision occurred?,Traffic Environment,An urban or town road with commercial buildings and parallel parking along the right side.,"residential street with houses and parked cars on both sides, lined with trees and no visible commercial signage.","highway with multiple lanes, median barriers, and no adjacent buildings or parking along the roadside.",What is the configuration of the road just before the accident?,Road Configuration,"It was a two-way road with no land markings, with moderate traffic",It was a one-way road with clear lane markings and light traffic,It was a two-way road with visible center lines and heavy traffic,How can the type of collision in the video be most accurately described?,Accident Type,A sideswipe collision where both vehicles were traveling parallel and one drifted into the other's lane.,rear-end collision where one vehicle failed to maintain a safe distance and struck the vehicle ahead.,T-bone collision occurring at an intersection when one vehicle ran a red light and hit another sideways.,What was the primary contributing factor from both drivers that led to this accident?,Accident Cause,"he car driver failed to check for traffic when pulling out, and the motorcyclist was unsafely overtaking at high speed from the right shoulder.","The car driver was distracted by a mobile phone, and the motorcyclist failed to maintain a safe following distance.","The motorcyclist was riding in the wrong lane, and the car driver suddenly accelerated without signaling.",Which combination of actions could have most effectively prevented this accident?,Accident Prevention,"The car driver should have thoroughly checked their mirror and blind spot before merging, and the motorcyclist should have avoided overtaking on the right shoulder.","The car driver should have signaled earlier before changing lanes, and the motorcyclist should have maintained a greater distance from the vehicle ahead.","The motorcyclist should have stayed in the left lane and avoided passing on the right, while the car driver should have slowed down to allow safer merging."
000286,"Based on the video, what are the prevailing weather and lighting conditions at the time of the incident?",Weather & Light,"It is daytime with clear skies, but there is evidence of strong sun glare affecting visibility.","It is daytime with partly cloudy skies, and there is no significant glare affecting visibility.","The weather is overcast with diffused lighting, and the sun is not causing any visual disturbances.",Which of the following best describes the traffic environment shown in the video,Traffic Environment,A busy urban street with multiple lanes of traffic and mature trees lining the road.,wide suburban road with light traffic and young trees along the sidewalk.,narrow city street with parked cars on both sides and no visible greenery.,What is the configuration of the road on which the incident occurs?,Road Configuration,"A multi-lane thoroughfare, with a dedicated tram or stop on the right side.",two-lane road with a sidewalk on the right side and no dedicated public transit lane.,wide arterial road with multiple lanes in each direction and a bus stop located on the left side.,What type of accident occurs in the video?,Accident Type,A sideswipe collision between the lead car and the out-of-control bus that performed a sudden turn.,rear-end collision between the lead car and the bus that braked suddenly.,T-bone collision involving the lead car and the bus making a left turn across traffic.,What is the primary cause of this collision?,Accident Cause,The tram out of control and cut in to the ego-car's lane.,The ego-car suddenly accelerated and failed to maintain a safe distance.,"pedestrian stepped into the road, causing the tram to swerve abruptly.",Which action would have been most effective in preventing this accident?,Accident Prevention,The bus should constantly check its functional sections to ensure it works well.,The bus should have maintained a greater following distance from the vehicle ahead.,The driver should have signaled earlier before changing lanes.
000300,What were the primary weather and lighting conditions that posed a significant hazard at the time of the accident?,Weather & Light,A foggy day with snow and severe sun glare directly facing the drivers.,clear day with light snow and bright sunlight from the side of the road.,cloudy day with heavy rain and reduced visibility due to wet pavement.,Which of the following best describes the traffic environment where the collision occurred?,Traffic Environment,A signalized urban intersection with pedestrains lane and apartments at the corner.,residential street with a crosswalk and commercial buildings on one side,signalized intersection in a suburban area with no pedestrian crossings visible,"Based on the video, what is the configuration of the road at the accident site?",Road Configuration,"A multi-lane, two-way road crossing at a signalized intersection, with pedestrians present on the sidewalks.","single-lane, one-way road with a crosswalk at an unsignalized intersection, and no pedestrians visible on the sidewalks.","multi-lane, two-way road with a roundabout and traffic signs, but no signalized intersection or pedestrians present.",What type of collision occurred between the two vehicles?,Accident Type,"A side-impact (T-bone) collision, where the front white car hit a oncoming car.","rear-end collision, where the white car struck the vehicle in front of it from behind.","head-on collision, where two vehicles approached each other directly and collided frontally.",What was the primary and most direct cause of this accident?,Accident Cause,The white car failed to yield the right-of-way to oncoming traffic while making a left turn.,The driver of the white car was distracted by a mobile phone while turning left.,The oncoming vehicle failed to stop at the intersection and proceeded through the crosswalk.,What action could have most effectively prevented this collision?,Accident Prevention,The white car should stay calm and drive carefully while in intersection area.,The white car should have yielded to the vehicle approaching from the right.,The driver should have slowed down before entering the intersection due to poor visibility.
000306,"Based on the video, what were the prevailing weather and lighting conditions at the time of the incident?",Weather & Light,"It was daytime with clear skies, bright sunlight, and dry road surfaces.","It was daytime with partly cloudy skies, moderate sunlight, and slightly damp road surfaces.","It was early morning with low visibility due to fog, dim lighting, and wet pavement conditions.",Which of the following best describes the traffic environment shown in the video?,Traffic Environment,A wide multi-lane urban arterial road with moderate traffic and commercial buildings.,narrow residential street with low traffic and parked cars along both sides.,busy highway with multiple lanes and high-speed traffic surrounded by open fields.,What is the configuration of the road on which the ego-vehicle is traveling?,Road Configuration,"A straight, multi-lane, two-way road divided by a double solid line, with many vehicles parked on the roadside.","straight, multi-lane, one-way road with a dashed center line and parked vehicles on the right side only.","curved, two-lane road with a solid single line dividing traffic and no vehicles parked along the sides.",What type of collision does the ego-vehicle experience?,Accident Type,A rear-end collision with the vehicle that towads the opposing lane.,side-swipe collision with a vehicle changing lanes from the adjacent lane.,head-on collision with an oncoming vehicle crossing into the ego-vehicle's lane.,"What is the primary factor that led to the collision with the ego-vehicle?""",Accident Cause,"The The white car in front performed a very dangerous U-turn, crossing multiple lanes",The white car suddenly accelerated and merged into the ego-vehicle's lane without signaling,"pedestrian stepped into the road, causing the driver to swerve unexpectedly",What was the most viable action to prevent this specific incident?,Accident Prevention,"The white car should not make a U-turn here. It should make a U-turn in the leftmost lane, not on the solid yellow line.",The white car should have signaled earlier before turning to alert other drivers.,The driver of the black car should have maintained a safer distance to avoid sudden braking.
000309,"Based on the visual evidence, which of the following best describes the weather and lighting conditions at the time of the incident?",Weather & Light,"lear daylight with good visibility, though there are patches of melting snow and water on the road.",Overcast conditions with reduced visibility due to light snowfall and wet road surfaces.,"Bright daylight with clear skies, but the road is covered in a thin layer of ice and slush.",What is the most accurate description of the traffic environment where the collision occurs?,Traffic Environment,An urban auxiliary road with tall buildings nearby.,suburban residential street with low-rise houses and parked cars along the sides.,busy intersection in a commercial district with multiple traffic signals and storefronts.,What is the configuration of the road shown in the video?,Road Configuration,Congested road area shoulder with slow-moving or stop-and-go traffic.,Urban two-lane road with moderate traffic flow and clear lane markings.,Road with parked vehicles on both sides and limited space for maneuvering.,What specific type of collision occurred?,Accident Type,A head-on collision of the oncoming car and the front car which was stationary.,side-impact collision between the oncoming car and the vehicle in the adjacent lane.,rear-end collision caused by the car behind the stationary vehicle failing to stop in time.,What was the primary contributing factor from Participant B (the green MPV) that led to the crash?,Accident Cause,The coming car's misjudgment of the gap between the car in front.,The green MPV's failure to maintain a safe following distance while approaching the intersection.,The driver of the green MPV suddenly accelerating to overtake the vehicle in front.,Which action would have been the most effective measure to prevent this accident?,Accident Prevention,The oncmoing sedan quits cutting in the  parking space in the right hand.,The driver of the sedan maintains a safe distance while merging into traffic.,The vehicle in front applies brakes gradually to avoid sudden stops.
000325,"Based on the visual evidence, what were the weather and lighting conditions at the time of the accident?",Weather & Light,It was daytime with clear skies and good visibility.,It was daytime with light cloud cover and moderate visibility.,It was early morning with low sunlight and hazy conditions.,Which of the following best describes the traffic environment where the accident occurred?,Traffic Environment,"An urban road regulated by traffic lights, with electric wires and shops along the street","suburban road with no traffic signals, surrounded by low-rise buildings and open spaces",busy intersection in a commercial district with multiple lanes and pedestrian crossings,What is the configuration of the road where the collision happened?,Road Configuration,A four-way intersection where multiple lanes of traffic cross.,T-intersection where traffic merges from a side road into a main street,multi-lane roadway with a median divider and no cross-traffic,How can the collision be classified?,Accident Type,"An angle collision, where the front of the car struck the side of the motorcycle.","side-swipe collision, where the car and motorcycle moved parallel before making contact.","rear-end collision, where the car struck the motorcycle from behind.",What was the primary factor that directly led to this accident?,Accident Cause,The black car went in the wrong lane and passed the intersection too fast before the green light,The motorcycle entered the intersection without yielding to oncoming traffic,The black car failed to stop at the red light and collided with a vehicle turning left,What was the most critical action that could have prevented this collision from happening?,Accident Prevention,The driver of the car should have slowed down before the green light turned on and yielded the right-of-way.,The motorcyclist should have waited for the traffic light to turn green before entering the intersection.,The driver of the car should have maintained a safe following distance from the vehicle ahead.
000326,"Based on the video, what are the prevailing weather and road surface conditions at the time of the incident?",Weather & Light,A gloomy day with an overcast sky and a damp road surface.,cloudy day with light rain and a wet road surface.,clear day with bright sunlight and a dry road surface.,Which statement best describes the traffic environment just before the collision?,Traffic Environment,A wide urban arterial road.,multi-lane highway with light traffic and no visible intersections.,narrow residential street with parked cars along both sides.,What is the configuration of the road where the accident occurs?,Road Configuration,"A straight, multi-lane urban main road with at least three lanes in one direction, and heavy, slow-moving or stop-and-go traffic.","curved, two-lane suburban road with moderate traffic and visible signage indicating a school zone.","narrow, one-way urban street with parked vehicles on both sides and light pedestrian activity.",What type of accident is depicted in the video?,Accident Type,A multi-vehicle rear-end incident involving a rear-end collision initiated by the camera.,side-swipe collision between two vehicles in adjacent lanes,single-vehicle incident caused by loss of control on a wet road,What are the primary contributing factors from the drivers that led to this complex accident,Accident Cause,The dashcam vehicle following too closely and in a high speed.,The vehicle in front braking suddenly without warning.,The dashcam vehicle failing to maintain a safe distance while driving at a moderate speed.,What is the most crucial action the driver could have taken to prevent their part in this accident?,Accident Prevention,The dashcam car's driver maintains a greater following distance from the grey car to allow for adequate reaction and braking time.,The dashcam car's driver should have signaled earlier to indicate their intention to change lanes or stop.,The dashcam car's driver could have avoided the accident by maintaining a consistent speed and avoiding sudden braking.
000340,"Based on the video, what were the prevailing weather and lighting conditions at the time of the incident?",Weather & Light,Daytime with clear skies and good visibility.,Daytime with overcast skies and moderate visibility.,Early morning with low light and slight fog.,Which of the following best describes the environment where the accident occurred?,Traffic Environment,"An urban intersection featuring traffic signals, overhead wires, and roadside trees.","suburban road with no traffic signals, lined with residential buildings and streetlights.","highway intersection with multiple lanes, guardrails, and no visible trees or overhead wires.",What is the layout of the road at the scene of the collision?,Road Configuration,"A multi-lane, two-way road forming a unsignalized intersection.","two-lane, one-way road with a signalized intersection and pedestrian crossing.","multi-lane, one-way road forming a roundabout with no traffic signals.","Based on the dynamics of the collision, what is the most accurate classification of this accident?",Accident Type,A left-turn collision where a turning vehicle crossed the path of an oncoming vehicle.,sideswipe collision between two vehicles traveling in the same direction,rear-end collision caused by a vehicle failing to maintain safe distance,What was the primary critical error that led to this collision?,Accident Cause,The driver of the light-colored car failed to yield the right-of-way to oncoming traffic while turning left.,The driver of the dark-colored car failed to maintain a safe following distance while approaching the intersection.,The light-colored car entered the intersection without checking for cross traffic from the left.,What action would have been the most effective measure to prevent this accident?,Accident Prevention,The white minicar waits for a safe gap in oncoming traffic before initiating the left turn.,The white minicar yields to oncoming traffic while making a right turn from the opposite lane.,The driver of the white minicar maintains a safe following distance behind the vehicle ahead during the maneuver.
000343,"Based on the visual evidence, what were the prevailing weather and road conditions at the time of the incident?",Weather & Light,"Daytime and overcast, with wet road surfaces indicating recent or ongoing rain.","Daytime and partly cloudy, with dry road surfaces suggesting no recent precipitation.","Early morning with foggy conditions, and damp roads indicating light mist or dew.",Which specific element in the immediate traffic environment was the most critical factor in obstructing the driver's view of the hazard?,Traffic Environment,A large blue bus traveling in the adjacent lane to the left of the ego-vehicle.,black sedan positioned directly in front of the ego-vehicle in the same lane.,pedestrian crossing the road from the right side of the frame.,What is the configuration of the road section where the collision occurred?,Road Configuration,A two-way urban road with at least one lane in each direction; the collision did not occur at a marked crosswalk.,one-way urban road with multiple lanes in a single direction; the collision occurred near a marked crosswalk.,two-lane rural road with no center divider; the collision took place at an unmarked intersection.,This type of accident is best classified as which of the following?,Accident Type,A 'ghost-head' or blind-spot pedestrian collision.,pedestrian crossing collision at a marked crosswalk.,sideswipe incident involving a vehicle and a stationary object.,What was the primary and most direct cause of the collision?,Accident Cause,The pedestrian ran across the road from a large blind spot without looking for traffic in the adjacent lane.,"The driver failed to maintain a safe following distance behind the bus, causing a sudden braking maneuver.",pedestrian suddenly stepped into the roadway from behind a parked vehicle without checking for oncoming traffic.,"From the driver's perspective, which defensive driving action would have been the most effective in potentially preventing this specific type of accident?",Accident Prevention,Reducing speed and being prepared to stop when driving alongside a large vehicle that blocks the view of the roadside.,Maintaining a safe following distance behind the bus to allow for sudden stops in heavy traffic.,Using turn signals early when changing lanes to alert other drivers of intentions.
000349,"Based on the video, what were the weather and lighting conditions when the accident occurred?",Weather & Light,"It was daytime with clear, sunny conditions and a dry road surface.",It was daytime with light cloud cover and a wet road surface due to recent rain.,It was early morning with low visibility caused by fog and damp pavement conditions.,What specific traffic control feature is present at the location of the collision?,Traffic Environment,"Urban street with marked crosswalk with pedestrian crossing signs, and trees along with few low street shops","Urban street with a pedestrian crossing signal and traffic lights, but no visible crosswalk markings or signage","Urban street with marked crosswalk and pedestrian signs, but without trees or nearby shops along the road",Which statement accurately describes the road configuration at the accident scene?,Road Configuration,"A straight, multi-lane road at a signalized intersection where at least two lanes traveling in the same direction, with a row of parked cars narrows the road.","two-way road with a median divider and no parked vehicles, approaching a roundabout with multiple entry points.","narrow urban street with one lane in each direction, featuring a crosswalk and traffic signals at an intersection without visible parked cars.",What is the most accurate classification of this accident?,Accident Type,A series of acciental events initiated by a black car crossing the intersection by entering the opposite lane,frontal collision caused by a pedestrian crossing the road unexpectedly,side-swipe incident resulting from two vehicles merging into the same lane at an intersection,What crucial preventive action should have taken?,Accident Cause,The black car tried to overtake the vehicle ahead from the opposite lane.,The black car failed to yield to the pedestrian crossing the street.,"The vehicle ahead suddenly braked without signaling, causing a near-collision.",,,,,
000350,What were the prevailing weather and light conditions when the collision occurred?,Weather & Light,"aytime with an overcast sky, providing clear visibility.","Daytime with heavy rain, reducing visibility significantly.",Early morning with foggy conditions and dim lighting.,In which type of traffic environment did this incident take place?,Traffic Environment,In an urban area.,In a residential neighborhood with low traffic volume.,At a rural intersection with minimal infrastructure.,"Based on the video, what is the road configuration at the location of the accident?",Road Configuration,"A signalized 4-way intersection consists of a curved multi-lane mainroad。 An accident car broke down in the intersection, blocking the right intersection.","signalized 4-way intersection with a straight multi-lane main road, where a vehicle has stopped in the crosswalk due to mechanical failure.","T-intersection with a single-lane side road merging into a curved main road, where a car has stalled near the curb.",How can the type of accident shown in the video be best described?,Accident Type,A series of rear-end collisions.,side-impact collision involving multiple vehicles at an intersection.,single-vehicle crash caused by sudden braking in traffic.,What was the primary human error that led to this collision?,Accident Cause,"The driver of the left white car changed lanes abruptly without signaling or checking for adjacent traffic, and  blocked the other vehicle's path.",The driver of the right white car failed to maintain a safe following distance and collided with the vehicle ahead when the light turned green.,"The left white car was attempting to make a legal turn without yielding to oncoming traffic, causing the collision.",What key action could the driver of the at-fault car have taken to prevent this accident?,Accident Prevention,"When the road narrows, Mazda drivers should check the traffic on the side before cutting in, and Nissan drivers should keep a safe distance from the vehicle in front.",The driver of the Mazda should have signaled before changing lanes and ensured there was enough space to merge safely.,The Nissan driver should have accelerated quickly to avoid being hit from behind when the road conditions changed.
000352,"Based on the video, what were the weather and lighting conditions when the accident occurred?",Weather & Light,It was daytime with clear skies and a dry road surface.,It was early evening with overcast skies and a wet road surface.,It was daytime with light rain and reduced visibility due to fog.,Which statement best describes the traffic environment where the collision took place?,Traffic Environment,An urban intersection with marked crosswalks and traffic signals.,rural road with no traffic signals and minimal pedestrian activity.,highway interchange with multiple lanes and overhead signs.,What was the road configuration at the point of impact?,Road Configuration,"At an intersection, a bicycle crossed the road at a pedestrain crossing when the traffic light was red in the same direction","At a T-intersection, a cyclist entered the crosswalk while the traffic signal was green for vehicles in the same direction","At a four-way intersection, a bicycle crossed diagonally from the sidewalk without using a designated pedestrian crossing",What type of accident is depicted in the video?,Accident Type,A collision between an SUV going straight and a cyclist crossing at an intersection.,cyclist being hit by a car while riding on the sidewalk near an intersection.,An SUV turning left and colliding with a pedestrian crossing the street.,What was the primary human-factor cause of this collision?,Accident Cause,The cyclist ignored a red traffic signal designated for pedestrians and cyclists.,The driver failed to yield to pedestrians crossing the street on a marked crosswalk.,The cyclist was riding against the flow of traffic in a designated bike lane.,by the SUV driver would have been the most effective measure to prevent this collision?,Accident Prevention,The cyclist waits for the traffic light on the main road to cross.,The SUV driver yields to the cyclist before turning left.,The cyclist crosses the road without stopping at the pedestrian crossing.
000360,What are the weather and road surface conditions at the time of the incident?,Weather & Light,Overcast skies during the daytime with a dry road surface.,Partly cloudy skies during the daytime with a wet road surface.,Overcast skies during the nighttime with a dry road surface.,What key traffic surroundings were present at the location of the collision?,Traffic Environment,A rural road with plants and low buildings along the roadside.,city intersection with traffic lights and multiple lanes of traffic.,residential street with parked cars and a sidewalk lined with trees.,"Based on the video, which statement best describes the road where the accident happened?",Road Configuration,"There is a T-junction on the right and a branch road on the left, several pedestrians waited for a bus at the corner station.",There is a crossroads with traffic lights on both sides and a bus stop on the left where several pedestrians are standing.,"The road has a T-junction on the left and a side street branching off to the right, with people walking near a sheltered area.",What type of accident is depicted in the video?,Accident Type,A collision between a vehicle and a pedestrian at a designated crosswalk,vehicle hitting a pedestrian while turning at an intersection without a crosswalk,collision between two vehicles at a pedestrian crossing,What was the primary cause of this accident?,Accident Cause,The dashcam vehicle driver failed to slow down and yield the right-of-way to the pedestrian at the crosswalk.,"The pedestrian suddenly stepped into the roadway without looking, causing the driver to lose control.","The oncoming vehicle failed to stop at the intersection, leading to a collision with the pedestrian.",How could the participants in this incident have most effectively prevented this collision?,Accident Prevention,The camera vehicle slows down when approaching the crosswalk and stops for the pedestrian.,The pedestrian should have waited for the traffic light to change before crossing the street.,The oncoming vehicle could have yielded to the pedestrian by stopping at the crosswalk.
000363,"Based on the video, what were the weather and lighting conditions at the time of the incident?",Weather & Light,Daytime with clear weather and good visibility.,Overcast sky with light rain and reduced visibility.,Early morning with foggy conditions and limited lighting.,Which of the following best describes the traffic environment shown in the video?,Traffic Environment,A suburban multiple parallel arterial separated by green belts with buildings nearby.,"residential street with narrow lanes and parked cars on both sides, surrounded by houses and trees.","An urban arterial road with multiple lanes and frequent intersections, lined with commercial buildings and traffic signals.",What is the configuration of the road where the accident occurred?,Road Configuration,A one-way road with only opposite traffic flow.,two-way road with traffic flowing in both directions.,one-way road with vehicles moving in the same direction.,What type of collision occurred in the video?,Accident Type,A head-on collision caused by an oncoming vehicle crossing the center line.,rear-end collision caused by a vehicle failing to maintain a safe following distance.,side-swipe collision resulting from a vehicle drifting into the adjacent lane.,What was the primary and direct cause of this accident?,Accident Cause,The oncoming silver car suddenly crossed the center line into the ego-vehicle's path.,The ego-vehicle failed to maintain a safe following distance behind the white van.,The silver car was turning left across the intersection without signaling.,Which of the following measures would have been most effective in preventing this specific type of head-on collision?,Accident Prevention,Installing a physical median barrier between the opposing lanes of traffic.,Implementing speed limits on the roadway to reduce vehicle velocities.,Installing better lighting along the road to improve nighttime visibility.
