video_number,q1_text,q1_category,q1_ans_correct,q1_ans_wrong1,q1_ans_wrong2,q1_ans_wrong3,q2_text,q2_category,q2_ans_correct,q2_ans_wrong1,q2_ans_wrong2,q2_ans_wrong3,q3_text,q3_category,q3_ans_correct,q3_ans_wrong1,q3_ans_wrong2,q3_ans_wrong3,q4_text,q4_category,q4_ans_correct,q4_ans_wrong1,q4_ans_wrong2,q4_ans_wrong3,q5_text,q5_category,q5_ans_correct,q5_ans_wrong1,q5_ans_wrong2,q5_ans_wrong3,q6_text,q6_category,q6_ans_correct,q6_ans_wrong1,q6_ans_wrong2,q6_ans_wrong3
000404,"Based on the video, what are the prevailing weather and lighting conditions at the time of the incident?",Weather & Light,The incident occurs during the daytime with clear skies and good visibility.,The incident occurs during the daytime with light cloud cover and moderate visibility.,The incident takes place at night under clear skies with good visibility.,The incident happens during the daytime with sunny conditions but reduced visibility due to glare.,Which of the following best describes the traffic environment shown in the video?,Traffic Environment,An urban road with residential buildings near the road.,suburban road with commercial buildings along the side,busy highway with multiple lanes and no nearby structures,residential street with parked cars and low-rise apartment buildings,What is the configuration of the road where the accident takes place?,Road Configuration,"A straight, multi-lane T-junction with with dense, follow-the-leader traffic.","curved, two-lane intersection with light, scattered traffic","straight, multi-lane crossroad with moderate, mixed-flow traffic",T-junction with multiple lanes but no visible follow-the-leader traffic pattern,How would this collision be most accurately classified?,Accident Type,A 'gost-head' T-bone caused when the car in the front turned left and got its view blocked,side-swipe collision caused when the car in the front changed lanes without signaling,rear-end collision resulting from the silver car failing to maintain a safe following distance,T-bone collision where the silver car turned right and was struck by the vehicle behind it,What was the primary contributing factor to this collision?,Accident Cause,The driver of the silver sedan Cutting into the oncoming lane in a high speed.,The silver sedan failed to yield while merging into the adjacent lane at a moderate speed.,"The white van suddenly stopped, causing the silver sedan to swerve and collide with the vehicle in front.",The driver of the silver sedan was distracted by a mobile phone while driving in the oncoming lane.,What key driving technique could have been used to prevent this accident?,Accident Prevention,The silver car should make full observation before cutting to lane in blind spot.,The silver car should have maintained a greater following distance to avoid sudden braking.,The driver should have signaled before changing lanes to alert other vehicles.,The silver car could have avoided the accident by accelerating quickly to merge into the lane.
000407,"Based on the visual evidence, what are the weather and road conditions at the time of the incident?",Weather & Light,"Cloudy daytime with sufficient light, wet road surfaces, and accumulated snow on the roadsides.","Overcast daytime with moderate lighting, dry road surfaces, and snow piled along the curbs.","Sunny morning with bright sunlight, wet pavement from melting snow, and no visible snow on the sides of the road.","Cloudy afternoon with low visibility due to fog, icy road conditions, and snow covering both the roadway and sidewalks.",Which description best fits the traffic environment where the accident occurs?,Traffic Environment,Narrow urban intersection between residential buildings.,Wide urban intersection with commercial buildings and pedestrian crossings,Narrow residential street with parked cars and limited visibility,Urban roundabout surrounded by apartment buildings and traffic signs,What was the road configuration and the initial positioning of the two vehicles involved just before they started moving?,Road Configuration,"A 4-way intersection controlled by traffic lights, with marked crosswalks and multiple lanes, including the one-way lane where the video car is located.","T-intersection with stop signs and no traffic lights, where the video car was positioned in a two-way lane approaching the crossroad.","roundabout with yield signs and pedestrian crossings, where the video car was located in a left-turn-only lane before entering the circle.","4-way intersection with traffic lights and marked crosswalks, but the video car was in a two-way lane instead of a one-way lane as it approached the intersection.",How can the collision be best classified?,Accident Type,"A side-impact (T-bone) collision, where the front of the straight-moving red SUV struck the side of the turning black SUV.","rear-end collision, where the red SUV struck the back of the black SUV while both vehicles were moving forward in traffic.","head-on collision, where the front of the red SUV collided with the front of the black SUV as they approached each other from opposite directions.","side-impact collision, where the side of the red SUV struck the side of the black SUV as both vehicles turned at the intersection.",What was the primary cause of this accident?,Accident Cause,"The driver of the black SUV made a right turn prompt by the car lights, but the adjacent SUV ignored it and started moving.",The red SUV attempted to merge into the lane but failed to yield to the black SUV turning right.,"The black SUV stopped abruptly at the intersection, causing the adjacent vehicle to collide with it from behind.","The driver of the black SUV signaled a left turn, but the red SUV proceeded without checking the surroundings.",Which action by one of the drivers would have most effectively prevented this collision?,Accident Prevention,"When waiting at an intersection, the red car should focus on controlling the vehicle and observe the surrounding traffic conditions.",The driver of the red car should have accelerated quickly to avoid blocking the intersection.,The gray SUV should have yielded to the red car when entering the intersection.,The red car should have checked only the left side before proceeding through the intersection.
000409,"Based on the video, what are the prevailing weather and lighting conditions at the time of the accident?",Weather & Light,Daytime with cloudy skies and generally good visibility.,Daytime with clear skies and bright sunlight,Early morning with foggy conditions and reduced visibility,Nighttime with overcast skies and limited lighting,What specific traffic environment in this video?,Traffic Environment,"An urban expressway with street lights, wide green belts and residential buildings behind them","suburban arterial road with residential buildings, street lights, and minimal green belts","An urban highway with multiple lanes, commercial signs, and no visible green spaces","city street with apartment buildings, pedestrian crossings, and limited vegetation along the sides",What best describes the road configuration where the accident occurred?,Road Configuration,A multi-lane arterial road with uneven curves and moderate traffic flow.,multi-lane urban road with straight sections and heavy traffic congestion,two-lane residential street with sharp turns and low-speed traffic,divided highway with multiple lanes and consistent curvature,Which of the following best categorizes the type of accident that occurred?,Accident Type,A series of side collisions and rear-end collisions in the direction of the vehicle caused by the oncoming vehicle's loss of control and drift,sequence of frontal collisions caused by a vehicle crossing into the opposite lane due to sudden braking,chain reaction of side impacts initiated by a vehicle swerving to avoid a pedestrian,rear-end collision followed by lateral impacts as vehicles lost control during heavy rain,What was the primary cause of this accident?,Accident Cause,"The oncoming vehicle was driving too fast, causing it to lose control at the bend and drift into our lane.","The oncoming vehicle failed to yield at the intersection, leading to a collision in the center lane.","The driver of our car swerved suddenly to avoid a pedestrian, causing the other vehicle to crash into us.","The road surface was wet and slippery, which contributed to the loss of control by the oncoming vehicle.",Which action would have most effectively prevented this collision?,Accident Prevention,The out-of-control car adjusts speed to be appropriate for the road conditions and ensures the vehicle remained fully within the marked travel lane.,The driver maintains a safe following distance and uses turn signals before changing lanes.,The out-of-control car applies brakes abruptly to stop quickly and avoid the oncoming traffic.,The vehicle stays within its lane but fails to reduce speed in response to adverse road conditions.
000416,"Based on the video, what are the weather and lighting conditions during the incident?",Weather & Light,"It is a clear, sunny day with dry road surfaces and good visibility.",It is a partly cloudy day with moderate sunlight and slightly wet road surfaces due to recent rain.,The weather is overcast with diffused lighting and reduced visibility caused by light fog.,"It is a sunny day with dry roads, but there are shadows from surrounding buildings that create patchy visibility.",Which of the following best describes the traffic environment shown in the video?,Traffic Environment,"An urban main road with street signs and billboards, as well as municipal buildings","residential street with parked cars and small houses, featuring minimal signage and no commercial buildings","busy intersection in a downtown area with multiple traffic lights and pedestrian crossings, but lacking visible billboards or municipal structures","city road lined with shops and restaurants, including street signs and pedestrians, but without any large public buildings or overhead advertisements",What is the road configuration at the scene of the accident?,Road Configuration,"A busy,straight, multi-lane, two-way main road divided by white solid lines,","narrow, curved, one-way street with dashed yellow lines separating traffic lanes","wide, straight, multi-lane road with a central median and no dividing lines",two-lane road with solid white lines on the edges and a pedestrian crossing in the middle,What type of accident occurs in the video?,Accident Type,Continuous scraping between the vehicle and the vehicle in the left lane,Continuous scraping between the vehicle and the vehicle in the right lane,Sudden collision between the vehicle and a stationary object on the sidewalk,Brief contact between the vehicle and the side of a truck while changing lanes,What is the primary action that led directly to this collision?,Accident Cause,The ego-vehicle driver was out of control and failed to brake in an excessive speed.,"The truck driver suddenly changed lanes without signaling, causing the ego-vehicle to swerve.",The ego-vehicle attempted to overtake a slower vehicle when the truck turned left unexpectedly.,The collision occurred because the ego-vehicle was following too closely behind the truck before braking.,What crucial safety principle should have been followed to prevent this accident?,Accident Prevention,The ego-car uses emergency braking while controlling the direction and slows down on urban roads.,The ego-car should have maintained a safe following distance to avoid sudden braking in urban traffic.,The driver should have yielded to the truck turning left at the intersection to prevent a side collision.,The ego-car activated emergency braking but failed to adjust steering direction during the maneuver.
000425,"Based on the video, what were the prevailing weather and lighting conditions when the collision occurred?",Weather & Light,"It was a clear, sunny day with dry road surfaces.",It was a partly cloudy day with moderate sunlight and dry pavement.,"There was light rain falling, reducing visibility and making the road surface wet.","The weather was clear but overcast, with bright ambient light and no precipitation.",Which of the following best describes the traffic environment where the accident took place?,Traffic Environment,A multi-lane urban intersection surrounded by city buildings.,wide urban street with a single lane in each direction and no visible traffic signals.,multi-lane highway intersection with surrounding greenery and minimal buildings.,"city intersection with multiple lanes, but the area is primarily open with few tall structures nearby.",What is the configuration of the road layout where the collision occurs?,Road Configuration,"A multi-lane, four-way intersection controlled by traffic lights.","two-lane, T-shaped intersection with stop signs at each entrance.",multi-lane roundabout with yield signs and no traffic signals.,four-way intersection with traffic lights but only two lanes in each direction.,How would you classify the type of collision that occurred,Accident Type,"No contact accident, the motorcycle brakes caused the body to swing and overturn",The motorcycle lost control due to a sudden swerve while avoiding a pedestrian,side collision occurred when the motorcycle was struck by a turning vehicle,The rider fell after braking sharply to avoid hitting a car in the intersection,What was the primary cause of this accident according to traffic laws and the sequence of events?,Accident Cause,"The motorcycle was at an excessive speed, overturned due to the vehicle's body swinging due to braking to avoid the SUV at the intersection","The SUV made a sudden left turn without signaling, causing the motorcycle to lose control and fall","The motorcycle failed to maintain a safe distance from the SUV, resulting in a collision during braking",The rider lost balance due to uneven road surface while attempting to avoid the SUV at the intersection,What critical action should have taken to prevent this collision?,Accident Prevention,The motor should slow down at inersection area. The SUV should go through intersection as fast as possible.,The motorcyclist should have waited for the traffic light to turn green before entering the intersection.,The SUV should have yielded to the motorcyclist when turning right at the intersection.,The motorcyclist should have stayed in the left lane and avoided crossing the path of the SUV.
000426,"Based on the video, what were the weather and lighting conditions at the time of the incident?",Weather & Light,Clear daytime conditions with good visibility and a dry road.,Partially cloudy conditions with moderate sunlight and a wet road surface,Overcast daytime conditions with reduced visibility due to light fog,Clear weather with bright sunlight but poor visibility caused by glare from the sun,Which of the following best describes the traffic environment where the collision occurred?,Traffic Environment,"A clearly marked pedestrian crosswalk on a multi-lane Scenic area roads, with lawns and vegetation",pedestrian crosswalk on a two-lane urban road with sidewalk and streetlights,"multi-lane road in a scenic area with vegetation, but without marked crosswalks",clearly marked pedestrian crosswalk on a residential road with parked cars and limited greenery,What is the configuration of the road in the direction of the camera vehicle's travel?,Road Configuration,"At least two lanes, with the striking car in the oppsing lane and the camera car in the right.","The road has two lanes in each direction, with the striking car in the same lane as the camera vehicle.","The road is a single lane in each direction, and the striking car approaches from the left side of the camera vehicle.","The road has at least two lanes, but the striking car is in the adjacent lane on the same side as the camera vehicle.",What type of accident is depicted in the video?,Accident Type,A vehicle-pedestrian collision at a marked crosswalk.,vehicle-pedestrian collision at an unmarked crosswalk.,rear-end collision between two vehicles at a traffic signal.,"pedestrian crossing the road without using the designated crosswalk, resulting in a near-miss with a moving vehicle.",What was the primary cause of this accident?,Accident Cause,The driver of the black car failed to yield the right-of-way to pedestrians in a marked crosswalk.,The pedestrian suddenly stepped into the crosswalk without looking.,The black car was driving too fast for the conditions.,"The driver of the black car failed to yield to pedestrians, but the crosswalk was not clearly marked.",How could the traffic accident participants have most effectively prevented this collision?,Accident Prevention,"The oncoming black car scanns the road ahead, identifies the pedestrians in the crosswalk, and stops to yield.",The oncoming black car slows down but continues through the crosswalk without yielding to the pedestrians.,The driver of the recording vehicle maintains a safe speed and keeps a clear view of the road ahead.,"The pedestrian with the stroller crosses quickly, assuming the approaching car will stop in time."
000427,"Based on the video, what are the environmental conditions at the time of the incident?",Weather & Light,Daylight with clear skies and good visibility.,Daylight with light cloud cover and moderate visibility.,Early morning with low sunlight and hazy conditions.,Clear skies during the day but with limited visibility due to dust.,Which of the following accurately describes the traffic environment shown in the video just before the collision?,Traffic Environment,The scene is a busy urban intersection.,The scene is a multi-lane road with moderate traffic flow.,The scene is a residential street with low-speed traffic.,"The scene is an intersection with traffic signals and pedestrian crossings, but no significant vehicle density.",What is the configuration of the intersection where the accident occurs?,Road Configuration,"A busy, signalized intersection with other vehicles, a trolleybus, and pedestrian crossing signs.","multi-lane intersection with traffic signals and pedestrian crossings, but no trolleybus present","busy urban intersection with vehicles and traffic lights, lacking clear pedestrian crossing signs","An intersection with a trolleybus and traffic signals, but without visible pedestrian crosswalks or signage",How can the collision between the ego-vehicle and the dark SUV be classified?,Accident Type,"A T-bone (or side-impact) collision, where the front of the ego-vehicle struck the side of the SUV.","rear-end collision, where the ego-vehicle struck the back of the dark SUV as it was moving forward.","side-swipe collision, where the ego-vehicle grazed the side of the SUV while both vehicles were traveling in parallel lanes.","head-on collision, where the front of the ego-vehicle collided with the front of the SUV at an intersection.",What was the primary cause of this accident?,Accident Cause,The dark SUV speeded through the intersection and left the original lane.,The red sedan failed to yield at the intersection and turned left abruptly.,"The bus stopped suddenly in the crosswalk, causing other vehicles to swerve.",The dark SUV was traveling at a high speed but remained within its lane throughout the intersection.,What critical action by the driver of the dark SUV could have most effectively prevented this collision?,Accident Prevention,The dark SUV observes carefully when passing through intersections to avoid fatigue driving and distraction.,The dark SUV maintains a safe following distance behind the vehicle ahead to prevent rear-end collisions.,The driver of the dark SUV checks blind spots thoroughly before changing lanes in heavy traffic.,The dark SUV slows down significantly before entering the intersection to avoid sudden braking.
000428,"Based on the video, what were the prevailing weather and lighting conditions when the accident occurred?",Weather & Light,"It was daytime with overcast skies, and visibility was generally clear.","It was early morning with heavy fog, and visibility was significantly reduced.","It was nighttime with clear skies, and the streetlights provided adequate illumination.","It was daytime with partly cloudy skies, but rain had recently fallen, causing wet road conditions.",Which of the following best describes the traffic environment where the collision took place?,Traffic Environment,An urban intersection with residential buildings and commercial shops nearby.,suburban intersection with apartment buildings and a small park nearby.,rural road with low-rise houses and open fields surrounding the area.,An urban street with commercial shops but no visible residential buildings in the vicinity.,What specific road features were present at the location of the accident?,Road Configuration,A narrow intersection with marked crosswalk (zebra crossing) and a traffic signal pole.,wide intersection with a pedestrian crossing and a speed limit sign,narrow road with a marked crosswalk but no traffic signal pole,T-shaped junction with a pedestrian crossing and a warning sign for school zone,How can this traffic accident be most accurately classified?,Accident Type,A collision between a vehicle and a pedestrian at a designated crosswalk.,collision between a vehicle and a pedestrian at an unmarked crosswalk.,sideswipe incident between two vehicles at an intersection.,pedestrian being struck by a vehicle while crossing against the signal.,What was the most direct and primary cause of this accident?,Accident Cause,The van driver failed to yield the right-of-way to the pedestrian who was already on the crosswalk.,The pedestrian suddenly stepped into the crosswalk without looking for oncoming traffic.,The van was traveling at a speed that exceeded the posted limit for the area.,The driver of the van did not see the pedestrian because of poor visibility from the vehicle’s front window.,Which of the following actions would have most effectively prevented this collision?,Accident Prevention,"The van waits outside the intersection when the light is red, and the pedestrain keep an eye on the oncoming car even when the light is green when crossing.","The pedestrian crosses only when the walk signal is active, and the van stops completely before entering the intersection.","The van yields to the pedestrian even if the light is green, and the pedestrian checks both directions before stepping off the curb.","The pedestrian avoids crossing when the van is approaching, and the van proceeds through the intersection without stopping at the red light."
000430,"Based on the video, what were the weather and lighting conditions at the time of the incident?",Weather & Light,Daytime with cloudy skies and a dry road surface.,Daytime with clear skies and a wet road surface,Early morning with overcast conditions and dry pavement,Late afternoon with partly cloudy skies and light rain on the road,Which of the following best describes the traffic environment where the accident occurred?,Traffic Environment,"A town or village road with roadside buildings, parked vehicles, and a side road junction","rural road with open fields, scattered trees, and no visible buildings or parked vehicles","busy urban intersection with multiple lanes, traffic lights, and high pedestrian activity","residential street with houses on both sides, but no side roads or junctions in the immediate vicinity",What is the configuration of the road at the accident location?,Road Configuration,"A two-lane, four-way road with a dashed centerline at a small intersection with a path.",two-lane road with a solid centerline and a pedestrian crossing at a T-intersection,four-lane road with a dashed centerline and no visible intersection or path,two-lane road with a dashed centerline at a small intersection without any adjacent path,What type of collision is depicted in the video?,Accident Type,"A T-bone (side-impact) collision, where the front of one car hit the side of the other.","rear-end collision, where the front of one vehicle struck the back of another car.","head-on collision, where two vehicles approached each other and collided frontally.","sideswipe collision, where the side of one car scraped against the side of another while moving parallel.",What was the primary cause of this accident?,Accident Cause,The maroon wagon pulled out from a side road and failed to yield the right-of-way to oncoming traffic.,The red sedan failed to maintain a safe distance and collided with the maroon wagon as it merged into traffic.,"The driver of the maroon wagon was distracted by a pedestrian crossing the road, causing them to pull out unexpectedly.",The maroon wagon was turning left from a side road but had the right-of-way due to a yield sign being present.,How could the drivers have most effectively prevented this collision?,Accident Prevention,The maroon wagon stops completely and waits for the approaching red car to pass before entering the main road.,The maroon wagon should have accelerated quickly to enter the main road before the red car arrived.,The red car could have slowed down earlier to allow the maroon wagon to merge safely.,"The maroon wagon only needed to yield partially, as the red car was still far enough away to avoid a collision."
000432,"Based on the video, what were the weather and lighting conditions at the time of the incident?",Weather & Light,"Clear skies and bright daylight, with a dry road surface.","Partly cloudy skies and moderate sunlight, with a wet road surface from recent rain.","Overcast conditions with diffused daylight, and a dry pavement.","Clear skies and bright daylight, but with a damp road surface due to morning dew.",Which of the following best describes the traffic environment shown in the video?,Traffic Environment,"Highway in a rural area, with billboard on the roadside.","Highway in an urban area, with multiple commercial buildings along the sides.","City street with traffic lights and crosswalks, surrounded by residential neighborhoods.","Rural road with billboard on the roadside, but no clear lane markings or highway barriers.",What is the road configuration at the location of the collision?,Road Configuration,"A wide, downhill multi-lane highway with at least three lanes travelling in the same direction, separated by clear lane markings.","two-lane road with a center divider and moderate traffic flow, curving slightly to the right.","narrow, uphill roadway with only two lanes in each direction and faded lane markings.","multi-lane highway with three lanes in one direction, but with no visible lane markings and a sharp incline.",What type of collision sequence is depicted in the video?,Accident Type,Side collision and rear-end collision caused by an out-of-control silver vehicle,Side collision followed by a front-end collision involving a black vehicle,Rear-end collision caused by a silver vehicle losing control and striking multiple cars,single-vehicle rollover incident initiated by a silver car swerving into the adjacent lane,What was the primary action that initiated this multi-vehicle accident?,Accident Cause,"The car in front braked suddenly, and the silver Honda subconsciously turned left to avoid the car, causing it to lose control and sway from side to side.","The silver Honda swerved to the right to avoid a vehicle merging from the side, causing it to lose control and trigger the chain reaction.","black SUV suddenly changed lanes without signaling, forcing the silver Honda to brake hard and collide with the car behind it.","The driver of the silver Honda was distracted by a mobile phone, leading to delayed braking and a collision with the vehicle in front.",Which action by the driver have most effectively prevented this accident?,Accident Prevention,The silver car in front maintains a steady speed and avoids sudden braking.,The silver car in front accelerates quickly to merge into the left lane.,The driver of the silver car checks blind spots before changing lanes.,The silver car maintains a safe distance but brakes suddenly when traffic slows ahead.
000435,"Based on the visual information, what were the environmental conditions at the time of the collision?",Weather & Light,Daytime with clear skies and good visibility.,Daytime with light cloud cover and moderate visibility.,Early morning with foggy conditions and reduced visibility.,Nighttime with clear skies and good visibility.,Which of the following best describes the environment where the accident occurred?,Traffic Environment,A suburban intersection with residential areas and vegetation nearby.,busy urban intersection with commercial buildings and heavy traffic.,rural crossroad surrounded by open fields and minimal infrastructure.,suburban intersection with residential areas but no visible vegetation nearby.,What is the configuration of the intersection shown in the video?,Road Configuration,A multi-lane intersection controlled by traffic lights and featuring a painted crosswalk.,two-lane intersection with stop signs and no marked crosswalk,multi-lane intersection controlled by traffic lights but without a painted crosswalk,"four-way intersection with traffic signals and a pedestrian crossing, but only one lane in each direction",What type of collision occurs between the blue Chevrolet and the dark gray Mercedes?,Accident Type,"A side-impact (T-bone) collision, along with a head-on crash, where the front of one car struck the side of the other,then the two acciden cars deviated from their original track and collided head-on with the video car.","side-impact collision occurred when the blue Chevrolet struck the rear quarter of the dark gray Mercedes, causing both vehicles to spin and collide with the video car from the side.","head-on collision between the blue Chevrolet and the dark gray Mercedes, where both vehicles approached each other directly at the intersection and impacted frontally without any lateral deviation.","The blue Chevrolet and the dark gray Mercedes experienced a T-bone collision, but after initial impact, they continued in their original directions without further contact with the video car.","What was the most likely primary cause of this accident?""",Accident Cause,The driver of the black car failed to yield the right-of-way to oncoming traffic while making a right turn. The blue car sped too fast and didn't declerate  in time.,The blue car ran a red light and collided with the black car that was turning right.,"The black car turned left without signaling, causing the blue car to swerve and crash.",The driver of the blue car was distracted by a phone call and failed to notice the black car turning.,What action by the driver of the blue car would have most reliably prevented this collision?,Accident Prevention,The black car waits for a complete gap in oncoming traffic before starting the turn. The blue car perform a decelrate befor entering intersection.,The blue car could have avoided the collision by yielding to the black car before entering the intersection.,The driver of the blue car should have maintained a steady speed while approaching the intersection to ensure better control.,The blue car would have prevented the crash if it had completed its turn before the black car began moving.
000440,"Based on the video, what were the environmental and road conditions at the time of the incident?",Weather & Light,"Clear, sunny daylight with a dry road surface.",Partly cloudy with moderate sunlight and a wet road surface due to recent rain.,Overcast skies with reduced visibility and dry pavement conditions.,Bright daylight with clear visibility but a damp road surface from morning dew.,Which of the following best describes the traffic environment shown in the video?,Traffic Environment,"A multi-lane highway in a suburban area, with an overpass passing above.",multi-lane highway in an urban area with high-rise buildings along the sides,two-lane road in a rural setting with minimal traffic and no overhead structures,busy city street with multiple intersections and traffic signals visible,What is the configuration of the road where the collision occurs?,Road Configuration,A busy one-way highway with at least three lanes for traffic moving in the same direction.,multi-lane divided highway with traffic moving in both directions,narrow urban street with two lanes and frequent intersections,busy one-way road with multiple lanes but no visible lane markings,What is the specific type of collision that initiates the accident?,Accident Type,"No collision, the vehicle ahead has a flat fell off.",rear-end collision occurs when the vehicle ahead suddenly brakes.,side-swipe collision happens between the truck and a nearby car.,"The vehicle ahead loses control due to a tire blowout, causing a chain reaction.",What was the primary contributing factor leading to this collision?,Accident Cause,A mechanical failure of the front pickup truck.,sudden lane change by the vehicle in the adjacent lane.,The driver of the pickup truck failing to maintain proper following distance.,An unexpected obstacle appearing on the roadway ahead.,How could the driver have most effectively prevented this accident?,Accident Prevention,The former pickup track's driver checks for mechanical failures before going on the road and avoids long driving times,The driver of the pickup truck should have maintained a safer following distance behind the semi-truck to allow more reaction time,The driver could have avoided the accident by signaling earlier when changing lanes to the right,The former pickup truck's driver should have checked for mechanical failures before going on the road but did not need to limit driving duration
000445,"Based on the video, what were the weather and lighting conditions at the time of the accident?",Weather & Light,Daytime with clear skies and good visibility.,Early morning with light fog and reduced visibility,Overcast skies with moderate rainfall and wet road conditions,Daytime with bright sunlight but heavy shadows from surrounding trees,Which of the following best describes the traffic environment where the collision occurred?,Traffic Environment,An urban multi-lane intersection with roadside trees and commercial buildings nearby.,suburban roundabout with low-speed traffic and residential houses nearby,busy highway intersection with multiple lanes and no visible roadside vegetation,An urban intersection with commercial buildings but no trees along the roadways,What is a key feature of the road configuration at the site of the accident?,Road Configuration,A busy signalized intersection with fast-moving traffic in the horizontal lane ahead,multi-lane road with a roundabout and moderate traffic flow,signalized intersection with heavy pedestrian activity and slow-moving vehicles,"busy intersection with traffic signals, but primarily featuring cross-traffic from the left side",What type of collision occurred in the video?,Accident Type,A collision between an SUV which went through the intersection at high speed and a motorcycle crossing the road,collision between a motorcycle and a white SUV that turned left at the intersection,rear-end collision involving a motorcycle and a vehicle stopped at the traffic light,side-swipe collision between a motorcycle and an SUV traveling in the same direction,What was the primary cause of this accident?,Accident Cause,The motorcyclist ran a red light while the SUV had the right-of-way.,The motorcyclist failed to yield while turning left at the intersection.,The SUV ran a red light and collided with the motorcyclist who had the right-of-way.,The motorcyclist was distracted by a phone call and did not notice the traffic signal.,How could this collision have been most effectively prevented?,Accident Prevention,The motorcyclist should have obey the traffic rule and wait untill the light turn red.,The motorcyclist should have slowed down before entering the intersection to avoid a sudden stop.,The driver of the white car should have yielded to the motorcyclist when turning left.,The motorcyclist should have checked for oncoming traffic before proceeding through the intersection.
000462,"Based on the visual information in the video, what were the weather and lighting conditions at the time of the accident?",Weather & Light,The incident took place during dusk with clear weather and general visibility.,The incident occurred during early morning with light fog and reduced visibility.,The weather was clear but the lighting conditions were poor due to heavy cloud cover.,"The accident happened at dusk with clear skies, but visibility was limited by headlights from oncoming traffic.",Which of the following best describes the traffic environment where the collision occurred?,Traffic Environment,The scene is an intersection on a multi-lane suburban wide road.,The scene is a four-way intersection on a two-lane rural road.,The scene is a multi-lane highway with no visible cross traffic.,The scene is an intersection on a narrow urban street with heavy pedestrian activity.,What was the road configuration and traffic control situation for the ego-vehicle just before the crash?,Road Configuration,The ego-vehicle was traveling straight through a signalized intersection on a yelloe light.,The ego-vehicle was approaching a stop-controlled intersection with a red light.,The ego-vehicle was turning left through a signalized intersection on a green arrow.,The ego-vehicle was traveling straight through an uncontrolled intersection with no traffic signals.,How can the type of collision shown in the video be most accurately classified?,Accident Type,"A T-bone (or side-impact) collision, where the front of one vehicle struck the side of another.","rear-end collision, where one vehicle struck the back of another at an intersection.","side-swipe collision, where two vehicles traveling in the same direction made lateral contact.","head-on collision, where the front of one vehicle struck the front of another approaching from the opposite direction.",What was the primary and most direct cause of this accident?,Accident Cause,"The white minivan made an unprotected left turn, failing to yield the right-of-way to the oncoming ego-vehicle.",The white minivan failed to stop at the red light before proceeding through the intersection.,"The ego-vehicle was traveling at an excessive speed, reducing its ability to react in time.",The white minivan initiated a left turn but did not signal its intention to other drivers.,What critical action should the driver taken to prevent this collision?,Accident Prevention,The driver of the white minivan should have yielded to oncoming traffic and waited for a safe gap before making the turn.,The driver of the white minivan should have accelerated quickly to complete the turn before oncoming traffic arrived.,The driver should have signaled earlier to alert other vehicles of their intention to turn.,The driver could have avoided the collision by turning left instead of right into the path of oncoming traffic.
000464,"Based on the video, what were the weather and lighting conditions at the time of the incident?",Weather & Light,Clear daylight with dry road conditions.,Overcast skies with wet road conditions due to recent rain,Dawn lighting with partially dry pavement and low visibility,Bright daylight but with damp road surface from morning dew,Which of the following best describes the traffic environment where the collision occurred?,Traffic Environment,An urban downtown area with multi-story buildings.,suburban residential street with single-family homes and wide sidewalks.,busy highway interchange with multiple lanes and overpasses.,downtown area with low-rise commercial buildings and limited pedestrian activity.,What is the configuration of the road at the accident location?,Road Configuration,"A narrow, one-way, multi-lane paved road with a slight curve.","wide, two-way, single-lane paved road with a sharp turn","narrow, one-way, single-lane paved road with a slight curve","narrow, two-way, multi-lane paved road with a slight curve",What type of accident is depicted in the video?,Accident Type,A side-impact collision where the motorcycle strikes the car in front.,rear-end collision where the motorcycle hits the car from behind,T-bone collision where the car strikes the motorcycle at a right angle,sideswipe incident where the motorcycle and car slide past each other without full impact,What was the primary contributing factor to this collision?,Accident Cause,"The motorcycle was speeding in the intersection, leaving insufficient reaction time.","The car made an unexpected left turn without signaling, causing the motorcycle to collide.",The motorcycle failed to maintain a safe distance from the vehicle ahead during the approach.,The driver of the car was distracted by a mobile device while entering the intersection.,What key action could have most effectively prevented this accident?,Accident Prevention,The motorcycle should slow down when turning and passing through intersections.,The motorcycle should maintain a safe distance from vehicles ahead while traveling straight.,The driver of the car should have yielded to the motorcycle at the intersection.,The motorcycle should have signaled its turn intention earlier to alert surrounding vehicles.
